city,Zip Code,spatial resolution,year,cambium_scenario,qty,unit,GWP(kg CO2 eq),GWP_fossil(kg CO2 eq),GWP_biogenic(kg CO2 eq),GWP_luluc(kg CO2 eq),AP(kg SO2 eq),EP(kg N eq),ODP(kg CFC-11 eq),POCP(kg O3 eq),CO2(kg),CH4(kg),N2O(kg)
Seattle,98174,Local,2025,MidCase,1,MWh,367.03427140690377,0.0,0.0,0.0,0.901979440479136,0.049817092465079066,4.260501760979857e-06,19.607916373814952,350.8937249747464,0.4326428710346976,0.00471792110166563
Seattle,98174,Local,2025,LowRECost,1,MWh,365.61567857760514,0.0,0.0,0.0,0.9015822386354043,0.05001485741685271,4.306178958630133e-06,19.62606269158782,349.6358289034937,0.43121491191471234,0.004729855679437968
Seattle,98174,Local,2025,HighRECost,1,MWh,370.37820020794715,0.0,0.0,0.0,0.9095348700455258,0.05008815767431795,4.338653496020194e-06,19.836902990215293,354.046794446498,0.4339865582610115,0.0047671946363491
Seattle,98174,Local,2025,HighDemandGrowth,1,MWh,390.18381618252477,0.0,0.0,0.0,0.9653477949476522,0.04995842213578244,4.662414098110388e-06,21.029374804085492,373.4400956055727,0.4624216125191353,0.005116059485321565
Seattle,98174,Local,2025,LowNGPrice,1,MWh,369.1056918722186,0.0,0.0,0.0,0.898024932954328,0.049694926946066725,4.257340402953198e-06,19.648578205856676,352.4243069693476,0.42605491453122635,0.004676592267713744
Seattle,98174,Local,2025,HighNGPrice,1,MWh,366.07022494809115,0.0,0.0,0.0,0.9166919303598482,0.050523466709707004,4.420980651921708e-06,19.8477270603456,350.7337259937533,0.4424385546948353,0.004856509109859167
Seattle,98174,Local,2025,Decarb95by2050,1,MWh,367.9607894661075,0.0,0.0,0.0,0.9037681734707526,0.04994386653003904,4.308550366251796e-06,19.705409759166315,351.7237589274422,0.43122057526556334,0.004732952305057302
Seattle,98174,Local,2025,Decarb100by2035,1,MWh,367.9475541192776,0.0,0.0,0.0,0.9047687937124538,0.04999060228833011,4.31605066124315e-06,19.719013647558384,351.75791909554965,0.43196296604516893,0.004741215032185712
Seattle,98174,Local,2030,MidCase,1,MWh,338.82244058671427,0.0,0.0,0.0,0.8450694246691305,0.04679846289357005,4.061862343294746e-06,18.286563871469365,324.37851077903724,0.40872162506811516,0.004446243583658851
Seattle,98174,Local,2030,LowRECost,1,MWh,316.270097887523,0.0,0.0,0.0,0.8017723935349811,0.04671797854796254,3.8593552958724355e-06,17.209243015333563,303.2244071688435,0.3912899033539479,0.004219853708798575
Seattle,98174,Local,2030,HighRECost,1,MWh,347.01619512122727,0.0,0.0,0.0,0.8579625760455911,0.04735770282092203,4.107678721327595e-06,18.640821589337975,331.948360098803,0.4132377955825864,0.004506105281779503
Seattle,98174,Local,2030,HighDemandGrowth,1,MWh,337.9213126426269,0.0,0.0,0.0,0.8451141269622621,0.04687626660373837,4.067414102217654e-06,18.2685271849856,323.61756820747536,0.40939220768364715,0.004452489962940271
Seattle,98174,Local,2030,LowNGPrice,1,MWh,339.83260143804006,0.0,0.0,0.0,0.8413803176882321,0.046641145939244,4.026623925142657e-06,18.255759132134635,325.05866647659406,0.40518888825837257,0.004407634126270952
Seattle,98174,Local,2030,HighNGPrice,1,MWh,322.58548500390395,0.0,0.0,0.0,0.8218915962544884,0.04748748893416481,3.974248287678368e-06,17.625656156725583,309.54234567503784,0.4026055532182445,0.0043539732609647495
Seattle,98174,Local,2030,Decarb95by2050,1,MWh,338.93235605126006,0.0,0.0,0.0,0.8450014212033831,0.04679729947002845,4.06056177192e-06,18.287824859719777,324.4678496615972,0.4085824484626005,0.004444818122082813
Seattle,98174,Local,2030,Decarb100by2035,1,MWh,339.7399057360659,0.0,0.0,0.0,0.8421599153893062,0.0466764809702962,4.033244435488332e-06,18.26455216260667,325.0166313630607,0.40582438927442765,0.004414887041295388
Seattle,98174,Local,2035,MidCase,1,MWh,322.0441108462418,0.0,0.0,0.0,0.8121532022338139,0.04535175210666516,3.886393037029085e-06,17.433596580333315,308.67371300779524,0.39763382119642443,0.004276288895753601
Seattle,98174,Local,2035,LowRECost,1,MWh,297.80689622331175,0.0,0.0,0.0,0.7632848987957247,0.044979517119915755,3.6894918533886644e-06,16.287479425808527,285.7564804723304,0.37443390456820114,0.004012153414517244
Seattle,98174,Local,2035,HighRECost,1,MWh,334.9249736607135,0.0,0.0,0.0,0.8347254109581835,0.046464693989424856,4.014227309365721e-06,18.073991051925603,320.65652896951667,0.4046792499886932,0.0043976005338856854
Seattle,98174,Local,2035,HighDemandGrowth,1,MWh,299.2786619825058,0.0,0.0,0.0,0.7531461811981696,0.046037161968262644,3.588928645430729e-06,16.184025571881463,286.58374079947544,0.3667964529559137,0.003923322078322079
Seattle,98174,Local,2035,LowNGPrice,1,MWh,323.7991649128093,0.0,0.0,0.0,0.8081877560204048,0.04521149002476219,3.8828131833136194e-06,17.46563627099348,309.94274733691003,0.39157522074118956,0.004237356128234883
Seattle,98174,Local,2035,HighNGPrice,1,MWh,310.2992176564299,0.0,0.0,0.0,0.7940884315849928,0.04639381502003772,3.844645931494174e-06,16.984916256725274,297.82710824658363,0.3899007203969901,0.004199383084095679
Seattle,98174,Local,2035,Decarb95by2050,1,MWh,322.8946851791636,0.0,0.0,0.0,0.81853636393523,0.045699257922982614,3.967846167195814e-06,17.590213593538774,309.6556823172215,0.3998460146048062,0.004330231182107945
Seattle,98174,Local,2035,Decarb100by2035,1,MWh,327.06795191785636,0.0,0.0,0.0,0.8394033871844696,0.04679465532374681,4.09610472186567e-06,17.963620308782218,314.1216004697475,0.41187217254582625,0.004470287071365516
Seattle,98174,Local,2040,MidCase,1,MWh,338.96285227501477,0.0,0.0,0.0,0.7800967714440201,0.04363644907448835,3.5318866171109627e-06,17.33468610622344,321.4612119451208,0.3606305335546186,0.003884954416087099
Seattle,98174,Local,2040,LowRECost,1,MWh,300.4096082704946,0.0,0.0,0.0,0.7684060775687342,0.04493011126443052,3.710537604287673e-06,16.41863441465892,288.1821197948005,0.37710864695329205,0.004033794720516846
Seattle,98174,Local,2040,HighRECost,1,MWh,376.81903259608947,0.0,0.0,0.0,0.7033484272244462,0.040470282213288036,2.722304852234932e-06,17.087674525590415,349.8732012999484,0.2737287018169346,0.002980598029044818
Seattle,98174,Local,2040,HighDemandGrowth,1,MWh,329.20474622624795,0.0,0.0,0.0,0.6278528286670175,0.04223376138258933,2.3683114419508302e-06,15.180686978014236,305.8467790228318,0.26283763469251686,0.0025933044207666666
Seattle,98174,Local,2040,LowNGPrice,1,MWh,350.70613955760666,0.0,0.0,0.0,0.7394539208541177,0.04194117013701794,3.1741151801569076e-06,17.055527724318612,329.4551942332197,0.31989557243004985,0.0034627910216921973
Seattle,98174,Local,2040,HighNGPrice,1,MWh,315.5071033426464,0.0,0.0,0.0,0.8062797152648341,0.04659586284959015,3.903634032531671e-06,17.264960910989885,302.78556763571453,0.39565517247979903,0.004263338430564328
Seattle,98174,Local,2040,Decarb95by2050,1,MWh,333.8541429663287,0.0,0.0,0.0,0.8061271777291042,0.04483641054893105,3.7956349106994785e-06,17.659298716157654,318.31748776242875,0.3842722430949865,0.004141685160326246
Seattle,98174,Local,2040,Decarb100by2035,1,MWh,310.98714356631643,0.0,0.0,0.0,0.7990261142977726,0.047281430583799064,3.867428553210628e-06,17.0613054972558,298.59440931699373,0.39234151316682925,0.0042257420675345875
Seattle,98174,Local,2045,MidCase,1,MWh,329.6399483963996,0.0,0.0,0.0,0.7217012335263442,0.0439873747144761,3.0840494966003033e-06,16.4592679802427,310.6733840762023,0.334785667975509,0.003396518547606975
Seattle,98174,Local,2045,LowRECost,1,MWh,278.9811694457897,0.0,0.0,0.0,0.7001152545747968,0.04551098136859832,3.278440960847664e-06,15.061763504066008,266.77010353415653,0.34442454446094883,0.0035692028695665243
Seattle,98174,Local,2045,HighRECost,1,MWh,372.4956209538857,0.0,0.0,0.0,0.6765873777217569,0.04021579622220519,2.53495361261521e-06,16.620773799807008,344.93739934159294,0.2561208006511407,0.0027759781346912912
Seattle,98174,Local,2045,HighDemandGrowth,1,MWh,329.82199192570556,0.0,0.0,0.0,0.6197844613428222,0.042742869115620113,2.254171930948887e-06,15.231477962621076,305.8494068920702,0.2705752942343642,0.0024695195775624335
Seattle,98174,Local,2045,LowNGPrice,1,MWh,342.25321974166945,0.0,0.0,0.0,0.7342530229470431,0.04313121407508424,3.1435036064989573e-06,16.931264234450676,321.9348423095738,0.33360376448356005,0.0034312239635517694
