year,CO2_cumulative,N2O_cumulative,CH4_cumulative,CH4_fossil_cumulative,CO2_concentration in atm,CO2_instantaneous,N2O_concentration in atm,N2O_instantaneous,CH4_concentration in atm,CH4_instantaneous,CH4_fossil_concentration in atm,CH4_fossil_instantaneous
0.0,0.0,-0.0,-0.0,0.0,1.0,1.756144836575154e-15,1.0,3.568932666252883e-13,1.0,2.10657699836326e-13,1.0,2.1066093804181435e-13
0.008333333333333333,1.463012246869667e-17,2.9740081432848187e-15,1.7548910847768888e-15,1.7549180616764514e-15,0.9993964202514094,1.7550848631162053e-15,0.9999311318481041,3.568686880455918e-13,0.9993281827595728,2.105161763617472e-13,0.9993281827595728,2.105226486427264e-13
0.016666666666666666,2.9251419500410584e-17,5.947811472129383e-15,3.5086032034676524e-15,3.508684099769319e-15,0.9987938890794636,1.754026731109717e-15,0.9998622684390305,3.568441111585765e-13,0.9986568168575503,2.103747479650786e-13,0.9986568168575503,2.103844501977212e-13
0.025,4.386390642589927e-17,8.921410000629219e-15,5.261137148122547e-15,5.261298871983217e-15,0.9981924044811372,1.7529704370380867e-15,0.9997934097724527,3.568195359641261e-13,0.9979859019907152,2.1023341458244515e-13,0.9979859019907152,2.1024634264908324e-13
0.03333333333333333,5.846759854667149e-17,1.189480374289903e-14,7.0124937102590854e-15,7.012763135541301e-15,0.9975919644572742,1.7519159773905065e-15,0.9997245558480439,3.5679496246212385e-13,0.9973154378560546,2.100921761500148e-13,0.9973154378560546,2.1010832593912928e-13
0.041666666666666664,7.306251113497428e-17,1.4867992713034342e-14,8.762673680862904e-15,8.763077647186054e-15,0.9969925670125795,1.7508633486629498e-15,0.9996557066654777,3.5677039065245335e-13,0.9966454241507587,2.0995103260399835e-13,0.9966454241507587,2.0997040001020846e-13
0.05,8.7648659433897e-17,1.7840976925140272e-14,1.051167785038864e-14,1.0512243163180073e-14,0.996394210155612,1.749812547358157e-15,0.9995868622244274,3.5674582053499793e-13,0.9959758605722214,2.098099838806495e-13,0.9959758605722214,2.098325648047021e-13
0.058333333333333334,1.0222605865741546e-16,2.0813756393317134e-14,1.2259507008759631e-14,1.2260260439305676e-14,0.995796891898777,1.748763569985624e-15,0.9995180225245666,3.567212521096411e-13,0.9953067468180398,2.0966902991626474e-13,0.9953067468180398,2.096948202650239e-13
0.06666666666666667,1.1679472399046426e-16,2.3786331131665255e-14,1.40061619453688e-14,1.4007130230865706e-14,0.9952006102583185,1.7477164130615883e-15,0.9994491875655687,3.566966853762663e-13,0.9946380825860139,2.0952817064718336e-13,0.9946380825860139,2.0955716633361976e-13
0.075,1.3135467058891953e-16,2.6758701154289746e-14,1.5751643449078634e-14,1.575285329268342e-14,0.9946053632543121,1.7466710731090157e-15,0.9993803573471071,3.56672120334757e-13,0.9939698675741472,2.093874060097874e-13,0.9939698675741472,2.0941960295296782e-13
0.08333333333333333,1.459059135797817e-16,2.973086647528134e-14,1.7495952308221206e-14,1.7497430379102412e-14,0.9940111489106576,1.7456275466575878e-15,0.9993115318688555,3.5664755698499673e-13,0.9933021014806458,2.092467359405017e-13,0.9933021014806458,2.092821300655785e-13
0.09166666666666666,1.6044846806109184e-16,3.270282710873556e-14,1.923908931059961e-14,1.9240862243987987e-14,0.9934179652550713,1.7445858302436892e-15,0.9992427111304875,3.5662299532686904e-13,0.9926347840039186,2.0910616037579376e-13,0.9926347840039186,2.0914474761399444e-13
0.1,1.7498234910212045e-16,3.567458306875753e-14,2.098105524348739e-14,2.0983149640726472e-14,0.9928258103190788,1.7435459204103935e-15,0.9991738951316764,3.5659843536025725e-13,0.9919679148425771,2.0896567925217378e-13,0.9919679148425771,2.0900745554079055e-13
0.10833333333333334,1.8950757174329466e-16,3.864613436943797e-14,2.2721850893629404e-14,2.272429332222602e-14,0.9922346821380078,1.7425078137074516e-15,0.9991050838720961,3.5657387708504503e-13,0.9913014936954352,2.088252925061946e-13,0.9913014936954352,2.0887025378857386e-13
0.11666666666666667,2.0402415099636276e-16,4.161748102487241e-14,2.4461477047241247e-14,2.4464294040915922e-14,0.9916445787509804,1.741471506691278e-15,0.99903627735142,3.565493205011158e-13,0.9906355202615095,2.086850000744517e-13,0.9906355202615095,2.0873314229998372e-13
0.125,2.185321018443941e-16,4.458862304915638e-14,2.619993449001157e-14,2.6203152548748857e-14,0.9910554982009061,1.7404369959249381e-15,0.9989674755693218,3.5652476560835315e-13,0.9899699942400182,2.0854480189358314e-13,0.9899699942400182,2.0859612101769161e-13
0.13333333333333333,2.330314392418375e-16,4.755956045637581e-14,2.793722400709976e-14,2.7940869597198484e-14,0.9904674385344743,1.7394042779781357e-15,0.9988986785254752,3.565002124066406e-13,0.9893049153303822,2.0840469790026955e-13,0.9893049153303822,2.084591898844012e-13
0.14166666666666666,2.47522178114572e-16,5.0530293260631027e-14,2.967334638313913e-14,2.967744593726253e-14,0.9898803978021465,1.738373349427199e-15,0.9988298862195538,3.564756608958616e-13,0.9886402832322239,2.0826468803123412e-13,0.9886402832322239,2.0832234884284835e-13
0.15,2.6200433336000544e-16,5.350082147600317e-14,3.140830240223431e-14,3.141288231946011e-14,0.9892943740581506,1.73734420685507e-15,0.9987610986512315,3.5645111107589987e-13,0.9879760976453678,2.0812477222324259e-13,0.9879760976453678,2.0818559783580116e-13
0.15833333333333333,2.7647791984707906e-16,5.647114511659256e-14,3.314209284796474e-14,3.314717949383513e-14,0.9887093653604715,1.7363168468512895e-15,0.9986923158201818,3.564265629466388e-13,0.9873123582698397,2.0798495041310302e-13,0.9873123582698397,2.0804893680605974e-13
0.16666666666666666,2.909429524163278e-16,5.944126419648035e-14,3.487471850338259e-14,3.488033820995413e-14,0.9881253697708454,1.7352912660119849e-15,0.9986235377260786,3.56402016507962e-13,0.9866490648058671,2.0784522253766612e-13,0.9866490648058671,2.0791236569645646e-13
0.175,3.053994458799625e-16,6.241117872975245e-14,3.66061801510137e-14,3.661235921690711e-14,0.9875423853547518,1.7342674609398583e-15,0.9985547643685957,3.563774717597532e-13,0.9859862169538792,2.077055885338249e-13,0.9859862169538792,2.0777588444985585e-13
0.18333333333333332,3.198474150219133e-16,6.538088873050441e-14,3.833647857285898e-14,3.8343243263308884e-14,0.9869604101814066,1.733245428244173e-15,0.9984859957474067,3.5635292870189574e-13,0.985323814414506,2.0756604833851478e-13,0.985323814414506,2.0763949300915444e-13
0.19166666666666665,3.3428687459789474e-16,6.835039421281257e-14,4.0065614550393284e-14,4.007299109729783e-14,0.9863794423237544,1.7322251645407412e-15,0.9984172318621857,3.5632838733427336e-13,0.9846618568885789,2.0742660188871364e-13,0.9846618568885789,2.075031913172811e-13
0.2,3.4871783933541577e-16,7.131969519076767e-14,4.179358886456654e-14,4.1801603466536957e-14,0.9857994798584622,1.731206666451911e-15,0.9983484727126063,3.563038476567696e-13,0.9840003440771302,2.072872491214416e-13,0.9840003440771302,2.0736697931719663e-13
0.20833333333333334,3.6314032393388265e-16,7.428879167845563e-14,4.352040229580491e-14,4.352908111821499e-14,0.9852205208659113,1.7301899306065538e-15,0.9982797182983424,3.56279309669268e-13,0.9833392756813929,2.0714798997376107e-13,0.9833392756813929,2.0723085695189393e-13
