year,CO2 emission intensity (kg/yr),CH4 emission intensity (kg/yr),CH4 fossil emission intensity (kg/yr),N2O emission intensity (kg/yr),atmospheric CO2 (in kg),atmospheric CH4 (in kg),atmospheric CH4 fossil (in kg),atmospheric N2O (in kg),CO2 irf (in W/m^2),CH4 irf (in W/m^2),CH4 fossil irf (in W/m^2),N2O irf (in W/m^2),CO2 crf (in W/m^2),CH4 crf (in W/m^2),CH4 fossil crf (in W/m^2),N2O crf (in W/m^2)
2069.916666666626,0.0,0.0,0.0002342681712860525,0.0,0.0,0.0020544195301233584,0.00681024097614712,0.0,0.0,4.327792927146123e-16,1.4412417807442725e-15,0.0,0.0,2.0755091550093164e-14,8.353729972017243e-15,0.0
2069.999999999959,0.0,0.0,0.00021917434066625718,0.0,0.0,0.0020406592365944127,0.0067828912015853934,0.0,0.0,4.29880580930732e-16,1.4355626929935574e-15,0.0,0.0,2.079103557621328e-14,8.473431494099483e-15,0.0
2070.083333333292,0.0,0.0,0.0,0.0,0.0,0.0020269911081151207,0.006737460084649353,0.0,0.0,4.2700128442421694e-16,1.4260736780073179e-15,0.0,0.0,2.082673885289407e-14,8.592661359399152e-15,0.0
2070.1666666666256,0.0,0.0,0.0,0.0,0.0,0.0020134145273733323,0.006692333260724173,0.0,0.0,4.241412731535096e-16,1.4166478238537538e-15,0.0,0.0,2.086220299265084e-14,8.711103138488817e-15,0.0
2070.249999999959,0.0,0.0,0.0,0.0,0.0,0.001999928881191592,0.006647508691686143,0.0,0.0,4.213004179480577e-16,1.4072847133992653e-15,0.0,0.0,2.089742959719844e-14,8.828762077168113e-15,0.0
2070.333333333292,0.0,0.0,0.0,0.0,0.0,0.001986533560499445,0.006602984353062705,0.0,0.0,4.1847859050248005e-16,1.39798393219434e-15,0.0,0.0,2.0932420257523603e-14,8.945643386588854e-15,0.0
2070.416666666625,0.0,0.0,0.0,0.0,0.0,0.0019732279603059287,0.006558758233941007,0.0,0.0,4.1567566337077205e-16,1.3887450684576715e-15,0.0,0.0,2.0967176553956784e-14,9.061752243478039e-15,0.0
2070.4999999999586,0.0,0.0,0.0,0.0,0.0,0.0019600114796722475,0.006514828336877091,0.0,0.0,4.128915099605494e-16,1.3795677130603471e-15,0.0,0.0,2.1001700056243544e-14,9.177093790359528e-15,0.0
2070.583333333292,0.0,0.0,0.0,0.0,0.0,0.0019468835216846332,0.006471192677805675,0.0,0.0,4.1012600452733067e-16,1.370451459510101e-15,0.0,0.0,2.1035992323615457e-14,9.291673135774409e-15,0.0
2070.666666666625,0.0,0.0,0.0,0.0,0.0,0.0019338434934273864,0.006427849285950544,0.0,0.0,4.073790221688585e-16,1.3613959039356325e-15,0.0,0.0,2.107005490486051e-14,9.405495354500069e-15,0.0
