"market for biomethane, medium pressure, vehicle grade | biomethane, medium pressure, vehicle grade | EN15804, U",4240b9ae-37ac-4386-b6fa-b06a15e3a4a7,1,kg
"biomethane production, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",19115256-dcfb-401d-b6d1-f7689ca3eaf6,1,kg
"biomethane production, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",24bedbd5-de03-47a5-be21-3137eb8ea5fc,1,kg
"market for biomethane, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",def8f2eb-993c-4704-b89b-1c13c9cb682a,1,kg
"market for biomethane, low pressure, vehicle grade | biomethane, low pressure, vehicle grade | EN15804, U",aee81a06-1ebc-41a7-970d-50f212e5d109,1,kg
"market for wood pellet, measured as dry mass | wood pellet, measured as dry mass | EN15804, U",dcbf451f-b6b4-4aea-8d8c-94718492347d,1,kg
"market for wood pellet, measured as dry mass | wood pellet, measured as dry mass | EN15804, U",ca74889c-8bbd-4427-9603-31184f73b73f,1,kg
"window frame production, wood, U=1.5 W/m2K | wood pellet, measured as dry mass | EN15804, U",5e320642-17f8-479c-add6-9e28177ee982,1,kg
"window frame production, wood, U=1.5 W/m2K | wood pellet, measured as dry mass | EN15804, U",c2b45f46-6d1f-4ed7-8860-cfe630e5f454,1,kg
"window frame production, wood, U=1.5 W/m2K | wood pellet, measured as dry mass | EN15804, U",431b3e79-90c7-4604-92be-5abb44cef3ae,1,kg
"window frame production, wood-metal, U=1.6 W/m2K | wood pellet, measured as dry mass | EN15804, U",e35ee118-8f28-42e3-8ea2-10fd352b81a6,1,kg
"window frame production, wood-metal, U=1.6 W/m2K | wood pellet, measured as dry mass | EN15804, U",99ea8586-6c96-4aa6-b482-feee6cb2730d,1,kg
"wood pellet production | wood pellet, measured as dry mass | EN15804, U",06877c02-78f6-4e46-a684-089e8e37628d,1,kg
"wood pellet production | wood pellet, measured as dry mass | EN15804, U",7321584c-70a4-490c-a906-0763d24f3db8,1,kg
"hardwood forestry, oak, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",d2de2bbc-95bf-495f-bb61-af107ad5bf12,1,kg
"hardwood forestry, birch, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",8dc42140-bde3-441e-8532-476c67708388,1,kg
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",1e664df6-e557-48bd-82f9-a3ce6bf9f89d,1,kg
"cork forestry | cleft timber, measured as dry mass | EN15804, U",cb3b609e-043d-4ea7-808e-a37672ec5319,1,kg
"softwood forestry, spruce, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",311ffe5a-b326-4abf-86d0-bf89443842ba,1,kg
"hardwood forestry, beech, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",4be61309-9d84-44a0-9179-6efa613822b5,1,kg
"softwood forestry, spruce, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",611aa0f1-12c9-43d0-869a-69a1e41da1e6,1,kg
"softwood forestry, spruce, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",f9bf3be7-970d-4135-9ff4-8f9cea7efffa,1,kg
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",0716d63a-26da-4e6f-99ae-433ae2bb1b1b,1,kg
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",840321f7-8b97-46c9-8e18-2c4072963d16,1,kg
"market for cleft timber, measured as dry mass | cleft timber, measured as dry mass | EN15804, U",20c51db9-ba89-4d6a-98fa-0a4dd23c98e1,1,kg
"hardwood forestry, birch, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",21d91ebf-2cb8-46a1-978a-77eb29a83697,1,kg
"softwood forestry, mixed species, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",08566de6-ae75-41ae-a688-5bf9b306dcdb,1,kg
"cork forestry | cleft timber, measured as dry mass | EN15804, U",e506dac8-bc57-492c-8aed-9812ce772c11,1,kg
"hardwood forestry, beech, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",c8634a78-9c09-44bb-9159-3063d6c57dd9,1,kg
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",3acec7ba-e1f2-4518-8af8-29a2a6a23519,1,kg
"softwood forestry, pine, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",8785b84d-5f57-42a1-9545-e633f585b698,1,kg
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",c9c52724-af96-49f5-b2bc-223db7c65e90,1,kg
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",b0e11670-0d61-48c2-8719-ba01808d6a10,1,kg
"softwood forestry, pine, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",f2d9fdc4-3d0a-4a2c-ac2b-edd97e567f7c,1,kg
"hardwood forestry, eucalyptus ssp., planted forest management | cleft timber, measured as dry mass | EN15804, U",4a558127-b8bd-4945-a4e6-de29b46a045f,1,kg
"hardwood forestry, oak, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",44767eee-bdb5-4a9b-bae9-24ac8c96c536,1,kg
"hardwood forestry, mixed species, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",9b542edf-bd65-4775-9081-f270f18c9a03,1,kg
"softwood forestry, pine, sustainable forest management | cleft timber, measured as dry mass | EN15804, U",35872c1e-d736-4eff-816f-c47703f08c03,1,kg
"heat production, wood pellet, at furnace 9kW | heat, central or small-scale, other than natural gas | EN15804, U",02a14192-4948-4e42-8cf9-1bf26f9d4c8c,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",225b7117-49ef-4bd1-bf09-b1fbf54670fc,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",7fef5936-27d2-444c-8d79-3c13aed8ca13,1,MJ
"heat production, softwood chips from forest, at furnace 50kW | heat, central or small-scale, other than natural gas | EN15804, U",968f8b6c-e384-4c25-bb47-d556d8c496ba,1,MJ
"heat production, mixed logs, at wood heater 6kW | heat, central or small-scale, other than natural gas | EN15804, U",53ad3dd3-a680-40f0-b909-0edc2e14e4a0,1,MJ
"heat production, wood chips from industry, at furnace 50kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",e269504c-85bc-4e2c-a923-455327a2255b,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",27728702-5f7b-4212-aac4-a130671cb01f,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",7e7eaf50-9196-42a4-887c-da789140b186,1,MJ
"heat production, mixed logs, at furnace 100kW, state-of-the-art 2014 | heat, central or small-scale, other than natural gas | EN15804, U",b44118ac-b3cd-4b19-9928-b59b55f4d01a,1,MJ
"operation, solar collector system, Cu flat plate collector, one-family house, for combined system | heat, central or small-scale, other than natural gas | EN15804, U",552c0428-7575-4f71-8f5c-d24173aae2c7,1,MJ
