"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",e55312ad-1488-43d9-ba3e-321f58be4e27,1,MJ
"operation, solar collector system, evacuated tube collector, one-family house, for combined system | heat, central or small-scale, other than natural gas | EN15804, U",d0916b6b-bd5e-46a3-9424-faa358154d34,1,MJ
"heat production, mixed logs, at furnace 100kW | heat, central or small-scale, other than natural gas | EN15804, U",a91cda01-311a-48fe-adca-ee7c2e6dab3d,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",4c3d8d22-874c-446b-884f-beaa9ea00917,1,MJ
"heat and power co-generation, biogas, gas engine | heat, central or small-scale, other than natural gas | EN15804, U",a633b56f-80fe-42e2-b6a8-9dcac5e6d5ec,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",94fd154c-b13a-4c6a-a393-4729c1042270,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",deaf7dbd-3f6e-47d5-9be5-8fbe866903e5,1,MJ
"sulfate pulp production, from softwood, bleached | heat, district or industrial, other than natural gas | EN15804, U",e6420aa4-707d-4cfa-a385-db21e9d9becf,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",a51cbe12-02db-4a16-980a-7d05d9efa260,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",c989d83f-8bcb-4b0f-96d0-7f92f92006ec,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",d72507a4-d1f9-46d1-9155-e9d0aa400efc,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",ab29a2bc-ce2f-46aa-9d45-0d8617558535,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",d2ff7e20-74a5-4293-a9c2-29ea184bfd26,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",06858211-91f1-412c-92f3-695f508f319d,1,MJ
"sulfate pulp production, from hardwood, bleached | heat, district or industrial, other than natural gas | EN15804, U",c48dcf34-db85-4b79-acf4-8ac6725f3a1f,1,MJ
"heat and power co-generation, wood chips, 2000 kW | heat, district or industrial, other than natural gas | EN15804, U",7ffef636-0abe-4be2-acf3-73eb5ad8952b,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",3b81f69e-8b82-4510-83f3-7679dabe88cd,1,MJ
"heat production, wood chips from industry, at furnace 1000kW | heat, district or industrial, other than natural gas | EN15804, U",4485a9c6-7f57-4be7-87f0-530d6c1f55b1,1,MJ
"treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",6b400395-f89e-41fd-ab69-deda93623c03,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",b2131cd2-5cf1-467e-b9cf-0d062c0be53d,1,MJ
"heat production, wood chips from industry, at furnace 300kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",0b9261ae-e2e3-43ea-b461-4c547347890b,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",9072fa5b-f644-47c9-a12f-5cb5eca79ee8,1,MJ
"heat production, untreated waste wood, at furnace 1000-5000 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",960a2ac7-7cb9-40c5-a2d2-660ddde1ff56,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",146d35e5-02e4-4ad9-b462-eef2c7348501,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",51d233bf-be95-4fca-9b79-29f0f4fd904b,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",cf5b38d6-a12e-48bf-a471-d737b0c7ecf5,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",d3d247cb-694a-4377-84c1-656fd2b40a0c,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",ffa3294e-3c63-451e-b2ab-d970e76384d1,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",9c216f26-c350-42aa-8c4e-2b9c62f79a7e,1,MJ
"heat production, wood chips from industry, at furnace 300kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",773b96ee-3490-4e34-a69f-75fd5c0d4660,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",aaf4cb88-4f1c-45df-be07-31822f0f4c39,1,MJ
"heat production, hardwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",16502ba0-f270-46f0-b2f5-8f69b54f7df4,1,MJ
"heat production, wood chips from industry, at furnace 1000kW | heat, district or industrial, other than natural gas | EN15804, U",b0af6b61-a367-4a25-9789-9505dfa3e605,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",9a81ba46-d0b1-4d5a-af21-79fbbbd012cf,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",29d94920-3304-4e77-bd25-8e7643db68fa,1,MJ
"heat production, untreated waste wood, at furnace 1000-5000 kW | heat, district or industrial, other than natural gas | EN15804, U",ddd1b33b-6612-4b46-a390-b9aa035354ff,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",303223d2-a627-42b6-935b-a1f4d3f8a4b5,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",ccff90ac-3f52-45d8-a3d8-5a8bc7db2cbd,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",239e6bd9-6d80-43b7-98b5-6d32e7948212,1,MJ
"heat production, hardwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",56900087-59f9-47d5-9663-96e126e77c54,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",607ca75c-d80f-45fe-903f-73a893e04796,1,MJ
"heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",4d3cadda-3d4e-463f-810e-af155f5e0ead,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",240872e3-1a78-449a-8166-e1e007ba2242,1,MJ
"heat production, softwood chips from forest, at furnace 300kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",851bfc72-f29c-447e-946b-c4e0f150d1be,1,MJ
"heat production, hardwood chips from forest, at furnace 300kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",80a3a55d-144c-4c35-8f1b-8b1445b0248e,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",1c5d653e-8e3f-4d89-94ac-a17efe0dc650,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products | heat, district or industrial, other than natural gas | EN15804, U",2a78213a-7b45-4da8-ae21-db6c13ec538f,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",5beabd1f-acbf-4ef9-9392-b4f58c7cba9c,1,MJ
"heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",3b55e7e7-e3a6-4e71-920a-cf0f693359fe,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",82e0879d-b488-4a65-b6af-8629043e8564,1,MJ
"heat production, hardwood chips from forest, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",5ca28234-c840-4a94-9550-cacdeede060e,1,MJ
"heat production, wood chips from industry, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",8cff59af-5757-4fee-9af4-e3d4c9e97657,1,MJ
"heat production, hardwood chips from forest, at furnace 5000kW | heat, district or industrial, other than natural gas | EN15804, U",511254f2-38da-4a54-81dd-4af32b4f89a4,1,MJ
"heat production, straw, organic, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",fb5ca7bf-c4c5-4b7a-9cc3-becccbe75c4d,1,MJ
"heat production, hardwood chips from forest, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",2b76178a-468e-48c4-9103-52468a34760d,1,MJ
"heat production, softwood chips from forest, at furnace 5000kW | heat, district or industrial, other than natural gas | EN15804, U",63462034-e07c-4b76-86bd-be71b397ff73,1,MJ
"heat production, softwood chips from forest, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",633d3e38-e50e-4f6b-8845-4c3432f374aa,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1f5ed2f8-b93d-4ea9-9124-792d746a8dab,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",ce5049af-9dc3-4a28-81da-a6011eed93d9,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",3823ede7-0bc9-4a70-adc3-f0f33ffa3d72,1,MJ
"heat production, softwood chips from forest, at furnace 5000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",c6e63020-9ef7-4d1c-8d30-95063a343bf7,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",7e82a253-9279-41a9-aa5f-37f3a36c6601,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",582bab9b-bf73-4382-964b-fa60464d722f,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",6e1972a3-7af6-4acc-b2d2-571fff8d19df,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",68ac241a-12d2-41c7-b76b-fc8047fd75e5,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",93d6a801-7aa5-46c9-bf2b-7e59b57c465c,1,MJ
"heat production, softwood chips from forest, at furnace 5000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",54d267fc-957c-44a2-8488-ca808db2c9aa,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",69062d8c-b234-4b27-968f-b03b115d5474,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",59d170e1-3e98-4f49-8786-1291e52c9d7e,1,MJ
"heat production, hardwood chips from forest, at furnace 5000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",c6a51e5a-251e-4b4d-8d0a-058ec441bf7d,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",2c90073b-e0d6-47d3-a83e-8919cc7fae6c,1,MJ
"heat production, hardwood chips from forest, at furnace 1000kW | heat, district or industrial, other than natural gas | EN15804, U",611c54c9-5e40-43aa-9e6d-01ba329a81fd,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",03ace243-892b-44b6-95d8-772af0d9b022,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",90224a85-5381-449c-a1fe-0bab120dc96d,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",1a5856dd-a8fe-4d3e-b13c-47251012c391,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",f3d0cd97-aefa-430f-b917-ebe3e0a8eb86,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",39d9126c-0efd-48ff-b858-451ac9e81a96,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",8f09f789-5fdf-4c5c-8f9d-462fc474c171,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",a71390ab-3c1b-49d4-910a-3331e073a04d,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",1a8015c6-c9ec-465f-ad4d-d2c3dba51703,1,MJ
"heat production, wood chips from industry, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",f7632b17-c451-45f1-824f-f1872eb24660,1,MJ
"heat production, hardwood chips from forest, at furnace 5000kW | heat, district or industrial, other than natural gas | EN15804, U",9ff7b9cd-5a5e-4540-9c8c-e76b3f8f94a2,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",82a47669-8d23-4039-a511-daaffa27f9b7,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",c356ebdb-a741-41ab-9b19-f295b351cf4d,1,MJ
"heat production, straw, organic, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",049cdf55-0d41-48b8-aec7-81786c954ab7,1,MJ
"heat production, hardwood chips from forest, at furnace 300kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",1b8c7f66-0bd4-494c-b518-9e01fa2aa358,1,MJ
"heat production, straw, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",7c5753d2-1a78-46b4-bc34-2fcebdada2ee,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",16610c1e-af72-4b80-8034-c363fec8f69e,1,MJ
"heat production, softwood chips from forest, at furnace 5000kW | heat, district or industrial, other than natural gas | EN15804, U",09a9ea63-7cc1-475f-8780-1167348c932c,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1153b6b9-9988-49fa-a0d1-71d3f1694987,1,MJ
"treatment of waste packaging paper, sanitary landfill | heat, district or industrial, other than natural gas | EN15804, U",85a90249-464c-4a47-a7d4-d1d9258a5c67,1,MJ
"heat production, softwood chips from forest, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",ddcdc79c-713c-4b67-aaff-9078a7d26a9d,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",59f36f54-defb-4440-bb45-c254233719a6,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",3faf591d-b987-4d20-a95e-355014e1342e,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",b058ad75-ee6c-4b00-aa49-1f8e6b85432a,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",754192be-1974-4559-a050-29230830d44e,1,MJ
"sulfate pulp production, from softwood, unbleached | heat, district or industrial, other than natural gas | EN15804, U",05b96813-a782-4b4f-9007-b8ab15e1554d,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",a0e2b77b-d114-40ad-bfb3-4efa383daf73,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",d56b4ed0-516f-4ede-b0e4-0c8a1fac922c,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",ca94e192-a667-42d7-8fdf-7f3f3aaae135,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",03b03a2c-d08b-4988-ae03-d50356302923,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1205aa87-90b3-4892-a897-43048f388374,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",eb1ec231-de69-44be-ae76-bd9b873a6ef3,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",ed4eab2a-c29c-4414-909e-8c4555f1d734,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",0ae69329-3c71-4b40-9ddd-6ea001ae0fde,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",d52b1934-9d34-420d-ad3b-fc8dce7a8498,1,MJ
"heat production, wood chips from industry, at furnace 5000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",d8e48727-e09f-4351-8b17-415a302f1bb2,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",ea4c3006-c2ac-4587-904f-9ebe9c085f89,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",9fba11d4-ba8c-4a9d-9b36-20e0c0ea6832,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",7be19719-72ca-4e4d-9001-ad2b2db50d1a,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",44487a7c-4227-44b8-a2e9-0943f2725f3c,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1befe748-8bf2-4e9c-9ddd-292cbdb9f57e,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1095eb72-abfc-4b41-b12f-819cd1bb6b09,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",3ff0c776-abf4-4cd7-b141-794b07fc22e2,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",bde8a63d-5bad-4e23-bef3-5741bbb39094,1,MJ
"heat production, wood chips from industry, at furnace 5000kW | heat, district or industrial, other than natural gas | EN15804, U",058e85c9-0bfe-4b80-b77c-d197bef067db,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1a638233-4849-44b9-801a-8cd1ba277085,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",c37f6e8a-b71f-4da1-836e-10691b77e03e,1,MJ
"heat production, wood chips from industry, at furnace 5000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",0a261ff8-fb67-456d-b36a-0f859de968d9,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",2c6d28fc-cc0b-4188-8966-b00071780598,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",d3d10c9f-38bd-4f16-a93e-db95010c350d,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",b390f467-1478-4bdc-9ebd-3cb33d4c2832,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",ca0228d7-37af-4de9-8d9d-20b90e32cef1,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",9bfa7695-aa27-473c-a5b6-b51fd5774372,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",cba12328-160b-4028-8559-c61284bbaa41,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",79d05396-539f-4099-a497-f87b8b702c56,1,MJ
"heat production, straw, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",30c0ad2b-2c7e-4624-9323-6a4fdca8a48a,1,MJ
"heat production, hardwood chips from forest, at furnace 5000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",539fcea8-713e-407b-846c-48d9b6d8f802,1,MJ
"heat production, hardwood chips from forest, at furnace 1000kW | heat, district or industrial, other than natural gas | EN15804, U",3504f732-76af-4294-9011-450ec2028f9f,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",bfb3e763-9b1a-4657-9d60-848e18f18210,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",5a6095cf-ac52-47a8-bbac-647153ae374e,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",91e11b51-d6c2-4ba6-8868-d43c55b529c9,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",3908868b-4c47-4795-a0a8-d7136b287057,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",173e0100-23c5-4c0d-a89b-fe895039ffd4,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",44b77d10-4908-4512-a077-be73ed352e2f,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",ea7cca05-22c5-4403-9285-b242591d1b7b,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",1a881684-692a-408e-a55d-b21602fb8b94,1,MJ
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal | heat, district or industrial, other than natural gas | EN15804, U",bd565bd4-4b06-4b6b-8ff2-d6c251b66a59,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",8df0a25b-cf23-4769-86f9-1837d4f09aa9,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",f4ea31a1-3926-4f11-9e2b-d2c4736634a3,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",e4cfa31c-5219-427c-8f9b-7202aa7da499,1,MJ
"heat production, wood chips from industry, at furnace 5000kW | heat, district or industrial, other than natural gas | EN15804, U",2f6b1f1b-ab72-4149-84b6-532186aeeae1,1,MJ
"heat production, softwood chips from forest, at furnace 1000kW | heat, district or industrial, other than natural gas | EN15804, U",1a572a11-6aa1-450b-b90a-d851b07a51ae,1,MJ
"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",8d9e1c19-3a75-4c80-896d-3d1dad95b494,1,MJ
"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",209d3e35-41d6-4116-91c5-9ddc83ac12c2,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",9dab247f-cce2-41e8-8c9b-e126a8a28cad,1,MJ
"heat production, untreated waste wood, at furnace 1000-5000 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",c29f5d00-20b1-4974-873e-0b17bc24b729,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",cc87b9f8-9fa1-4a31-a975-dbae8bf096c0,1,MJ
"heat production, wood chips from post-consumer wood, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",2e4a5f62-2b8b-46a1-9012-66b64b85889b,1,MJ
"heat production, softwood chips from forest, at furnace 300kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",7ae9036f-430d-43de-ad3d-28d8a419daa9,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",0494654f-144c-4559-9486-94c0e69cb25a,1,MJ
"heat and power co-generation, wood chips, 2000 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",bb9e6bb7-0baa-4757-af15-9afc5cc44d72,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",3eefa6b0-4e94-4d35-82e2-ba2cc4fe60a6,1,MJ
"heat and power co-generation, wood chips, 6667 kW | heat, district or industrial, other than natural gas | EN15804, U",80cb78f2-faf1-43b2-a5d8-49a64bb6efdd,1,MJ
"heat production, untreated waste wood, at furnace 1000-5000 kW | heat, district or industrial, other than natural gas | EN15804, U",c3bb9f5f-39ee-4754-a9a7-d3cf8fb2c4e0,1,MJ
"heat production, softwood chips from forest, at furnace 1000kW | heat, district or industrial, other than natural gas | EN15804, U",5117be6e-5e59-42d3-b416-57b98ff30f49,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",1dd58e59-0d42-4f51-b1a7-24761426f9c2,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | EN15804, U",be51975b-bc3b-4d96-81ff-a08957ae9493,1,MJ
"heat production, wood chips from post-consumer wood, at furnace 300kW | heat, district or industrial, other than natural gas | EN15804, U",c0f47af9-ae96-4962-b2b2-07e3f468140b,1,MJ
"heat production, biomethane, at boiler condensing modulating <100kW | heat, central or small-scale, biomethane | EN15804, U",c6c640a0-ef57-4cdf-8103-8be185c29997,1,MJ
"market for heat, central or small-scale, biomethane | heat, central or small-scale, biomethane | EN15804, U",895bc916-7566-4458-8184-9783702b492b,1,MJ
"heat production, biomethane, at boiler condensing modulating <100kW | heat, central or small-scale, biomethane | EN15804, U",a2c83c77-c885-438c-ba21-bdb1feee10ed,1,MJ
"heat production, biomethane, at boiler condensing modulating <100kW | heat, central or small-scale, biomethane | EN15804, U",e5cfcd07-acc4-487d-ad08-aaad332f5004,1,MJ
"market for heat, central or small-scale, biomethane | heat, central or small-scale, biomethane | EN15804, U",001278d9-ffc0-43bc-9971-92c8d80e9b6e,1,MJ
"market group for heat, central or small-scale, biomethane | heat, central or small-scale, biomethane | EN15804, U",75e22f47-af0c-476a-971a-798b57d991c7,1,MJ
