assembly,POD|LCA RSL Category,material,qty,unit
"Glazing, operable window",ecl_windows_openings,"Glazing, double pane IGU",33.1,m2
"Glazing, operable window",ecl_windows_openings,"Window frame, vinyl, fixed",33.1,m2
