fr_orig,Region,fr_inmode,fr_dist,emi
801.0,Canada,3,2479.828,1.249
802.0,Mexico,3,1779.772,1.249
803.0,South America,3,8700.696,1.249
804.0,Europe,3,10138.67111,1.249
806.0,China,3,16314.88533,1.249
807.0,China,3,16314.88533,1.249
808.0,China,3,16314.88533,1.249
801.0,Canada,1,200,0.074
802.0,Mexico,1,200,0.074
803.0,South America,1,0,0.074
804.0,Europe,1,0,0.074
806.0,China,1,0,0.074
807.0,China,1,0,0.074
808.0,China,1,0,0.074
