Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
"Electricity - COAL - Southern Company Services, Inc. - Trans",1,MJ,d32102d3-0f61-3cb7-b0d0-185a56d84ac9,0.315543172,0.000442387,2.39E-05,5.01E-09,0.008982475,0.305767157,0.000302933,4.68E-06
Electricity - COAL - Southwest Power Pool,1,MJ,f9d8b8bd-0af9-3d84-b1a4-3a379d7426b4,0.300505392,0.00071459,2.33E-05,8.27E-09,0.009301456,0.295330542,0.000137821,4.78E-06
Electricity - COAL - Southwestern Power Administration,1,MJ,fed844f9-a10e-340c-b719-4c4a5053545e,0.298745862,0.001174772,2.39E-05,7.74E-09,0.009420372,0.293392344,0.000142778,4.97E-06
Electricity - COAL - Tennessee Valley Authority,1,MJ,704c6f47-70b2-3d02-9f5e-061ee78f5784,0.314831293,0.00079981,2.54E-05,6.78E-09,0.010537046,0.307570356,0.000210721,4.90E-06
Electricity - COAL - Tucson Electric Power,1,MJ,040f3efe-d388-394c-b09d-f48deb19893c,0.292047592,0.000477264,2.03E-05,7.31E-09,0.007799619,0.286780535,0.000137108,4.70E-06
Electricity - COAL - Western Area Power Administration - Rocky Mountain Region,1,MJ,ab453b74-254e-3f45-a1a9-df09fbe11d80,0.299347602,0.000385892,1.68E-05,5.07E-09,0.007403075,0.294113192,0.000140796,4.72E-06
Electricity - GAS - Arizona Public Service Company,1,MJ,c016e56a-ae0e-355f-9343-36a57ed2d543,0.203970581,0.000533257,3.73E-05,3.32E-10,0.018671911,0.171763556,0.00114267,6.51E-07
"Electricity - GAS - Arlington Valley, LLC - AVBA",1,MJ,32e55f0f-9338-33f2-9506-2802a235e7fc,0.16082191,0.000242747,1.69E-05,1.51E-10,0.008556271,0.13555732,0.000896949,4.98E-07
"Electricity - GAS - Associated Electric Cooperative, Inc.",1,MJ,52da6a79-6ec4-35d5-99ac-4f4de025ad49,0.153340236,0.000222824,1.72E-05,2.87E-10,0.007474759,0.135762632,0.000621611,5.21E-07
Electricity - GAS - Avista Corporation,1,MJ,f640f577-752d-3623-af61-a522eb77f90f,0.138429313,0.000215564,1.61E-05,2.34E-10,0.007445195,0.128827977,0.000337205,4.97E-07
Electricity - GAS - Balancing Authority of Northern California,1,MJ,dd2ed052-b08f-33db-bccc-84cf27a5c2af,0.150725133,0.000229862,1.55E-05,1.02E-10,0.007686164,0.136053265,0.000518799,5.02E-07
Electricity - GAS - Bonneville Power Administration,1,MJ,1e5c0048-8d26-378c-9d51-338bdd7e62d5,0.140178122,0.000257462,1.74E-05,1.27E-09,0.008884025,0.129445584,0.000378124,4.94E-07
Electricity - GAS - California Independent System Operator,1,MJ,3bcee2b1-ec1f-3bc2-9ced-b16216973e77,0.173037341,0.000330307,2.40E-05,2.88E-10,0.011186188,0.154499871,0.000655162,5.98E-07
Electricity - GAS - Duke Energy Carolinas,1,MJ,0d947d01-28c6-3a2b-abc8-8b9273f64f91,0.152477076,0.000221807,1.85E-05,2.78E-10,0.007446519,0.143969816,0.000297554,5.70E-07
"Electricity - GAS - Duke Energy Florida, Inc.",1,MJ,86eacf42-34c3-39ce-97c1-b93ee017df2d,0.159553397,0.000272731,2.12E-05,1.56E-10,0.008991349,0.150652882,0.000311592,5.94E-07
Electricity - GAS - Duke Energy Progress East,1,MJ,9027df6c-b60e-388f-8ce6-5642e717a3d8,0.15390984,0.000290406,2.21E-05,1.41E-10,0.009698735,0.145440582,0.000296571,5.60E-07
Electricity - GAS - El Paso Electric Company,1,MJ,849b4c89-ee32-317d-8c1f-9dbc684c148f,0.205183845,0.000433592,2.98E-05,2.47E-10,0.014203677,0.191469987,0.000481388,7.75E-07
"Electricity - GAS - Electric Energy, Inc.",1,MJ,95326267-d283-3ed4-ae75-8a611ee00b82,1.070101661,0.002862603,0.002255281,1.75E-07,0.066554438,0.936617186,0.003804357,2.27E-05
"Electricity - GAS - Electric Reliability Council of Texas, Inc.",1,MJ,f9e7c1ea-30fc-345f-92c6-0cb455829f73,0.18589796,0.000535358,3.54E-05,1.72E-10,0.018026024,0.168565704,0.000612611,5.99E-07
Electricity - GAS - Florida Municipal Power Pool,1,MJ,dc2089db-6861-38bb-84af-7bb880c30d1c,0.140449105,0.000196788,1.62E-05,1.52E-10,0.006662408,0.132592379,0.000275018,5.21E-07
Electricity - GAS - Florida Power & Light Co.,1,MJ,96a73f9a-c65e-3207-802f-4074a516ff5c,0.142431123,0.000242898,1.80E-05,1.09E-10,0.007997733,0.133598342,0.000310084,5.18E-07
Electricity - GAS - Gainesville Regional Utilities,1,MJ,75343792-1bef-3387-b9e0-32566258eb2b,0.16582035,0.000253141,1.92E-05,7.67E-11,0.008679638,0.156622483,0.000322482,6.01E-07
"Electricity - GAS - Gila River Power, LLC",1,MJ,2abbfae4-b41c-3592-a718-334493f83ade,0.156321526,0.00044009,2.96E-05,1.67E-10,0.015388422,0.132050554,0.000861488,4.88E-07
"Electricity - GAS - Griffith Energy, LLC",1,MJ,b16eb7cc-ae28-3177-b92a-475607545bf1,0.160293761,0.000243409,1.66E-05,1.25E-10,0.008581506,0.13502671,0.000897173,4.95E-07
"Electricity - GAS - Homestead, City of",1,MJ,bc8e05d5-11b7-3339-aaa1-02d12d058ac1,0.405704387,0.005177104,0.000383798,5.15E-09,0.179675295,0.365913776,0.001380025,2.01E-06
Electricity - GAS - Idaho Power Company,1,MJ,2826ce9e-cff6-395b-9da8-0562bfbc6306,0.15262098,0.000206553,1.61E-05,2.79E-10,0.007099611,0.137456189,0.000535353,5.34E-07
Electricity - GAS - Imperial Irrigation District,1,MJ,ac6ca39d-4496-37af-bb11-0dec278ae76c,0.193623677,0.000309835,2.21E-05,2.39E-10,0.01070663,0.163135739,0.001082082,6.08E-07
Electricity - GAS - ISO-NE,1,MJ,0e887ec1-240c-35c1-b259-9d2b974637d1,0.149988885,0.000237247,1.87E-05,1.63E-10,0.007783373,0.141639841,0.000292152,5.63E-07
Electricity - GAS - JEA,1,MJ,e5459e62-5c4e-3f21-b90d-9eecbdceb1dc,0.158317839,0.000247504,2.06E-05,2.34E-10,0.008425959,0.149591104,0.000305088,5.90E-07
Electricity - GAS - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,1,MJ,b7d55a9f-8aff-3e5a-b776-6fd5919c0720,0.129486959,0.000194408,1.64E-05,1.97E-10,0.006627564,0.122154963,0.000256373,4.91E-07
Electricity - GAS - Los Angeles Department of Water and Power,1,MJ,8cc71168-aa82-3661-976b-4f5e949163cc,0.161464752,0.000250291,1.72E-05,1.42E-10,0.008568451,0.145551282,0.000562545,5.48E-07
"Electricity - GAS - Midcontinent Independent System Operator, Inc.",1,MJ,690a1029-496e-32ad-b06e-08adf662b94d,0.185579885,0.000478183,3.37E-05,3.07E-09,0.016298989,0.169418534,0.000567176,6.21E-07
