scenario,country code,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,h2-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,co2_shadow_price
HighRECost,US,2030,4690647000,39612036,79342264,49200984,4858802000,4522007628,2685137000,0.0359,0.054,0.1547,119332.89,1055650.1,0.72,0.71,139.4,7.9,1.08,13.4,753.6,0.1,139.9,35.9,175.8,148.4,8.4,1.15,14.3,802.4,0.11,148.9,38.2,187.2,209,8.7,1.13,20.6,1295,0.1,209.5,59.2,268.7,447.2,30.9,4.35,35.5,2079.5,0.24,449.3,97.5,546.8,677358481.7,38299.8,5246.9,65233467.6,3661378.9,485.4,679932222.2,174475064.6,854407286.8,0,18.98,22.95,0.55,42.49,20.39,25.41,0.58,46.39,118478870,47319630,165818180,4858803700,2173665300,33685296,31918764,0,87320344,268436670,0,0,104062450,1048546500,0,24175752,42954084,305706560,766009340,12784638,63600576,0,663484740,1304875100,101242930,23766.7,5571.6,0,141969.3,0,0,71092.6,325868.8,0,136043.5,5770.7,84416.2,95902.6,54306.8,39872.3,0,281343.4,28779,388999.4,95066.9,318978,0,0
HighRECost,US,2035,5274484700,73787440,125991310,54866760,5529130500,5084848670,2631144200,0.0359,0.054,0.1548,120292.67,1164088.7,0.77,0.77,119,7.5,1.04,10.7,603,0.08,119.5,28.7,148.2,127.4,8,1.11,11.5,644.7,0.09,127.9,30.7,158.6,139.6,4.8,0.61,14.6,922.3,0.07,140,42.1,182.1,434.2,32.2,4.55,32.4,1907.5,0.23,436.4,89.3,525.7,658012482.7,41466.9,5745.2,59273178.1,3333810.2,469.2,660816623.7,158748815.8,819565439.5,0,18.99,22.23,1.04,42.31,20.51,24.87,1.05,46.47,212151220,85079360,297266300,5529130500,2897986000,62770600,26172744,0,84025210,306154700,0,0,126120770,915645060,0,24747750,48841010,299142940,754441540,8241220,100961730,0,932605060,1681300400,157959970,45702.8,4791.5,0,133340.9,0,0,88127.6,351877.9,0,158748.4,6563.5,84805.2,94454.3,45955,57583.7,0,403150.4,47081,515730.5,182811,460669.2,0,0
HighRECost,US,2040,5832444000,123509940,180010750,59524920,6195489300,5622744671,2660146200,0.0359,0.054,0.1548,124028.81,1293440.4,0.8,0.81,104.6,6.9,0.96,9.1,517.2,0.07,105.1,24.6,129.6,109.1,7.3,1.02,9.4,532.6,0.08,109.6,25.2,134.9,144.8,6.9,0.91,13.6,859.8,0.07,145.3,39.2,184.5,394.4,29.1,4.1,29.1,1746.9,0.2,396.3,81.2,477.5,648015091.1,42613.4,5918.7,56631990.8,3204602,456.2,650900773.9,152253669.3,803154443.2,0,17.78,22.69,1.31,41.84,19.39,25.72,1.38,46.54,304036500,150063340,454188960,6195489300,3535342800,105107670,24700216,0,75842200,321609020,0,0,133099860,855913500,0,34542450,51857504,293242020,750895940,2371533,144064260,0,1269084200,1966807300,166351800,79232.4,4591.6,0,126138.8,0,0,95839.7,378476.9,0,222115.8,6975.7,85174.9,94010.4,32627.6,73314.6,0,561359.3,49381,605159,316929.6,586516.6,0,0
HighRECost,US,2045,6365371000,150284580,245659090,60062890,6821377500,6136513592,2800912000,0.0359,0.054,0.1548,128233.34,1426573.8,0.81,0.81,94.5,5.5,0.75,8.9,506.7,0.07,94.9,24,118.9,97.8,5.9,0.81,9,515.2,0.07,98.2,24.3,122.6,131.7,5.2,0.67,13.4,839.2,0.07,132.1,38.4,170.5,355.1,24.2,3.38,27.9,1683.3,0.18,356.8,78.1,434.9,644592529.1,37617.7,5149,60528880.5,3456613.4,448.9,647119213.7,163658496.3,810777710,0,16.87,23.59,0.9,41.39,18.55,27,1,46.58,382920770,281117700,664708860,6821377500,4020465200,127929200,23485602,0,72607930,269062100,0,0,146563650,971015900,0,51283584,57392200,284684930,745339900,1506714.5,196603870,0,1566175400,2140427600,167298850,97620.3,4426.7,0,109697.3,0,0,110719.2,399058.3,0,308904.7,7797.5,85531.6,93314.8,25582.8,93019.5,0,723277,49381,666330.6,391508.4,744155.8,0,0
HighRECost,US,2050,6841779000,191159550,279312100,63166028,7375416300,6595799089,3014468400,0.0359,0.054,0.1549,124758.29,1557062.5,0.8,0.8,92.1,4.3,0.57,9.5,554.4,0.06,92.4,26.1,118.4,93.6,4.5,0.59,9.5,557.5,0.06,93.9,26.2,120.1,125.3,3.8,0.46,13.7,864.1,0.06,125.5,39.5,165,324.9,18.1,2.48,29.4,1755.5,0.17,326.1,81.8,407.9,679300869,31562.1,4180.5,70223905,4088686.9,449.6,681382699.4,192189523.4,873572222.9,0,17.13,23.16,1.12,41.45,18.98,26.7,1.25,46.97,385541950,382579900,768775040,7375416300,4360948000,162700980,23210860,0,71965040,196029440,0,0,173437740,1212434000,0,84074600,59419400,289878820,688808770,2373466.5,223572910,0,1818408200,2200510000,168592510,119920.8,4389.4,0,79376.5,0,0,136294.5,426805.5,0,428388.8,8067.4,85846.2,86237.3,13409.1,101766.2,0,852747.6,49381,671480.9,482785.6,814129.9,0,0
HighDemandGrowth,US,2025,4278512400,27420480,28891068,43392920,4378217000,4124697874,2965591300,0.0359,0.054,0.1548,118581.49,980857,0.6,0.6,253.1,20.6,2.93,17.6,1172.7,0.16,254.5,52.5,307.1,266.3,21.6,3.08,18.5,1235.2,0.17,267.7,55.3,323.1,403.2,27.1,3.84,30.8,2168.8,0.23,405.1,95.5,500.6,603.7,48.8,6.96,39.8,2754.3,0.33,607,122,729,1108083675,90063.6,12810.5,76868461.6,5134474.6,708.7,1114264846,230069287.7,1344334134,0,27.49,24.03,0.72,52.25,29.3,26.34,0.77,56.41,53275670,20181738,73551180,4378222600,1412625400,23309074,35665972,0,72521450,722265300,0,0,73420936,969863300,0,19700988,20378338,292669570,766009340,19962772,23250902,0,507454620,811196600,20553232,17002.5,6094,0,170637,0,0,47977.4,290040.3,0,123184.5,2749.1,80762.6,95902.6,64345.3,23052.7,0,207276.6,5846.8,237887.9,68009.9,184421.6,0,0
HighDemandGrowth,US,2030,4774870500,70196616,71387910,53753336,4970208000,4603206947,2469400600,0.0359,0.054,0.1548,118586.6,1063339.7,0.77,0.77,114,6.4,0.88,11.3,618.1,0.09,114.4,29.7,144.1,121.9,6.8,0.94,12.1,661.4,0.09,122.3,31.8,154.1,180.9,8.1,1.08,17.4,1077.2,0.09,181.5,49.5,231,418.6,28.5,4,33.9,1966.7,0.23,420.6,92.6,513.2,566395688.8,31846.8,4361.3,56042365.2,3072091.1,432.6,568535362,147708777.2,716244139.2,0,17.84,22.07,0.44,40.37,19.22,24.51,0.47,44.22,163827550,66795670,230701140,4970209300,2500807700,59651180,31918762,0,89151650,222679900,0,0,140996500,874825900,0,21725700,35997120,298800060,766009340,11395930,57245824,0,771990300,1483213300,104607624,43517.5,5571.6,0,143562.3,0,0,97797.6,304141.2,0,132642.1,4844.3,84133.1,95902.6,54062.8,32760.1,0,325977.9,28779,435299.3,174070,262080.5,0,0
HighDemandGrowth,US,2035,5974895600,121159730,151191470,60930744,6308177400,5760061060,2502028000,0.0359,0.054,0.155,121244.2,1245582.4,0.83,0.82,89.5,5.5,0.76,8.4,460.8,0.07,89.8,22.1,111.9,96.2,5.9,0.82,9,494.3,0.07,96.6,23.7,120.3,156.2,7.4,0.98,14.5,922,0.07,156.7,42,198.7,352.3,24.5,3.44,27.9,1628.6,0.19,353.9,76.5,430.4,564340682.5,34628,4787.3,52701822,2906782,423.8,566679523.2,139439614.4,706119137.6,0,15.62,20.73,1.2,37.63,17.02,23.25,1.27,41.61,340431580,256436270,597060350,6308177400,3806149400,103032960,26172734,0,82036680,252588770,0,0,177607800,792456100,0,31377878,51714696,292447650,740114300,8959665,121126510,0,1341257600,2122331900,164952160,75550.9,4791.5,0,134933.9,0,0,132969.3,339451.4,0,165854.8,6970.4,84629.1,92660.6,45153.4,58391.4,0,613397.3,47081,646509.1,302203.5,467131.2,0,0
HighDemandGrowth,US,2040,7198774300,212952260,204583680,69922500,7686232600,6939915884,2689764600,0.0359,0.054,0.1551,123814.58,1493928.8,0.85,0.85,77.4,4.9,0.67,7.1,395.5,0.06,77.8,18.9,96.6,80.7,5.2,0.72,7.2,405.2,0.06,81,19.3,100.3,113.5,5.7,0.76,10.5,658.4,0.06,113.9,30.1,144,306.1,19.3,2.69,25.7,1526.7,0.16,307.5,71.2,378.7,595088916,37410.1,5169.9,54286449.4,3039689.9,432.8,597615114.1,144987373.4,742602487.5,0,15.73,21.05,1.48,38.34,17.34,23.85,1.6,42.88,569000900,421761540,991154200,7686232600,4996467000,181243730,24698864,0,74769510,277242530,0,0,185392080,816513500,0,43590050,55991756,288082200,761361900,2498967.2,163771710,0,1861340900,2774415600,175318510,143996.5,4591.4,0,126066.5,0,0,145636.4,372923.1,0,269136.5,7571.9,84983.3,95320.8,31933,74943.1,0,872920.1,49381,858455.5,581093.4,599545,0,0
HighDemandGrowth,US,2045,8121761000,296367300,258082260,75439160,8751650000,7829694649,2835794200,0.036,0.054,0.1552,127567.81,1685422.4,0.86,0.86,68.6,3.8,0.51,6.7,380.4,0.05,68.8,18,86.9,70.4,4,0.55,6.6,381.4,0.05,70.6,18,88.7,108.8,4.6,0.6,10.8,676.2,0.06,109.1,31,140.1,270.8,14.4,1.97,25.2,1488.3,0.14,271.7,69.6,341.4,600219497.8,32982,4481.3,58454140.8,3329194.6,421.2,602425753.6,157779138.8,760204892.4,0,15.2,21.74,1.11,38.08,16.9,24.89,1.23,43.05,843068600,763709500,1608063700,8751650000,5915855000,252292560,24561572,0,72560710,228691040,0,0,189730240,939031550,0,60695892,58511850,283618050,706611460,2599994,206619660,0,2322065200,3228682500,175377280,198468.5,4572.8,0,109625,0,0,159192.5,385909.8,0,343662.4,8033.9,85386.5,88466.1,24816.2,91356.3,0,1177193.9,49381,1029882.3,821425.8,730850.2,0,0
