Region,Technology Type,EP,AP,Particulate Matter Formation Potential,SFP,GWP,ODP,Water Consumption
ISO-NE,Biomass,0.259610573,4.40218598,0.22438734,142.6102892,1205.158394,6.92E-05,35.24510856
ISO-NE,Coal,0.12285869,1.999783695,0.197242747,36.92820489,1156.256554,2.80E-05,3048.2357
ISO-NE,Natural gas,0.07031646,0.889778668,0.029135769,29.19063407,571.1321849,6.38E-07,176.9558695
ISO-NE,Geothermal,0.003390945,0.379864261,0.010570095,0.463713894,121.0701467,9.86E-12,126.9518493
ISO-NE,Hydro,0.000187429,0.002620139,0.004144298,0.034155587,12.96657709,1.87E-09,0.57309248
ISO-NE,Mixed,0.142836812,2.627797318,0.118932788,69.34962749,1822.901467,5.52E-06,-886.3695291
ISO-NE,Nuclear,0.022305884,0.248582607,0.013420591,2.103070144,19.78312819,4.25E-09,257.9450074
ISO-NE,Other fossil,0.33504713,5.342075591,0.080323371,182.4781752,994.0361626,3.69E-08,0.272710349
ISO-NE,Petroleum,0.225556779,6.356947822,0.468816837,99.84819258,1148.238472,6.20E-06,425.9796446
ISO-NE,Other fuels,0.412230491,8.568690187,3.149918797,159.3469974,1.218607118,2.68E-10,-0.020055754
ISO-NE,Solar,0.006902188,0.099685213,0.020180872,1.134578117,22.33252057,4.79E-07,-0.021228451
ISO-NE,Solar thermal,0.075643284,0.515194057,0.011168996,634.8665777,84.75727534,7.12E-09,-4927.048438
ISO-NE,Wind,0.054359176,0.10470188,0.022124149,1.477486261,29.42273289,1.54E-08,0.428174432
ISO-NE,SCPC,0.04375109,1.007735502,0.127839763,13.89608586,945.7786478,2.60E-08,8734.532375
ISO-NE,SCPC w/ CCS,0.052883895,0.817412257,0.120772281,16.559434,288.206533,3.18E-08,15817.24409
ISO-NE,SubPC,0.046098172,1.058058637,0.133249794,14.65706283,986.9709938,2.68E-08,9236.670028
ISO-NE,SubPC w/ CCS,0.054749343,0.846000275,0.125767299,17.12151964,300.3677473,3.30E-08,16633.23786
