name,UUID,declared_qty,declared_unit,conversion_factor,converted_unit
"blow moulding | blow moulding | EN15804, U",e3716672-40aa-4da2-bff5-aae3d33ae904,1,kg,6.12,MJ
"softwood forestry, pine, sustainable forest management | wood chips, wet, measured as dry mass | EN15804, U",991d1d5a-f093-4e80-94d1-9e68b22adf10,1,kg,20.4,MJ
"softwood forestry, spruce, sustainable forest management | wood chips, wet, measured as dry mass | EN15804, U",d1a4dfbf-8ab9-4456-a45b-53f4e7003f43,1,kg,20.4,MJ
"softwood forestry, spruce, sustainable forest management | wood chips, wet, measured as dry mass | EN15804, U",53b4cdaf-531a-4a13-bc3c-9dc15914bb67,1,kg,20.4,MJ
"softwood forestry, spruce, sustainable forest management | wood chips, wet, measured as dry mass | EN15804, U",d2821955-fbb3-4ba3-a4e6-67aedfa61892,1,kg,20.4,MJ
"wood chips production, hardwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",158b6acd-617f-4fa4-a8f0-58f662991659,1,kg,19.6,MJ
"wood chips production, hardwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",a7b1985d-39e1-4094-84ac-de1ffd80f90e,1,kg,19.6,MJ
"wood chips production, hardwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",13e45f65-b9d7-4982-a9ed-0ef05d814f36,1,kg,19.6,MJ
"wood chips production, hardwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",2ed561dd-1f9a-486c-957a-47fb50da2733,1,kg,19.6,MJ
"wood chips production, softwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",b4457088-c94f-47f5-a6bd-ba6ac43fa2a6,1,kg,20.4,MJ
"wood chips production, softwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",c334ea7c-b569-4d51-97af-427c43fd9847,1,kg,20.4,MJ
"wood chips production, softwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",bdbceb84-2513-4eb4-9df9-92946599d254,1,kg,20.4,MJ
"wood chips production, softwood, at sawmill | wood chips, wet, measured as dry mass | EN15804, U",ea8d5f10-6e12-45a8-a6a7-f955fe775169,1,kg,20.4,MJ
"cross-laminated timber production | wood chips, dry, measured as dry mass | EN15804, U",a1c68447-50e9-40d9-a124-52c64d6f4228,1,kg,20.4,MJ
"cross-laminated timber production | wood chips, dry, measured as dry mass | EN15804, U",b224b594-06ec-4534-afcd-9353467acf76,1,kg,20.4,MJ
"furniture production, wooden | wood chips, dry, measured as dry mass | EN15804, U",f02649a7-a779-4561-9516-ab8e0e541dd6,1,kg,19.6,MJ
"glued laminated timber production, average glue mix | wood chips, dry, measured as dry mass | EN15804, U",4980d1b9-5d18-41cb-a0de-d446132854d1,1,kg,20.4,MJ
"glued laminated timber production, average glue mix | wood chips, dry, measured as dry mass | EN15804, U",a93498ec-1a37-4a40-a7ce-aea5fae06ff2,1,kg,20.4,MJ
"glued solid timber production | wood chips, dry, measured as dry mass | EN15804, U",11dc1e4d-12c4-4284-accb-159b78fece93,1,kg,20.4,MJ
"glued solid timber production | wood chips, dry, measured as dry mass | EN15804, U",81989569-500d-490d-b3a3-ffbf90fd5f2e,1,kg,20.4,MJ
"market for wood chips, dry, measured as dry mass | wood chips, dry, measured as dry mass | EN15804, U",f1884b12-7058-48fc-9af3-1586285b7676,1,kg,20.32,MJ
"market for wood chips, dry, measured as dry mass | wood chips, dry, measured as dry mass | EN15804, U",d152f68e-6814-4dd9-bb60-b192084ca305,1,kg,19.942,MJ
"plywood production | wood chips, dry, measured as dry mass | EN15804, U",f1272c0a-ff2c-4829-972b-ed2e05216b75,1,kg,19.6,MJ
"plywood production | wood chips, dry, measured as dry mass | EN15804, U",2586b380-a76f-4f8c-b9ec-1f34d3b1cef1,1,kg,19.6,MJ
"plywood production | wood chips, dry, measured as dry mass | EN15804, U",22d96fe3-62e6-49a9-bd9c-15f3e0fa4d4a,1,kg,19.6,MJ
"structural timber production | wood chips, dry, measured as dry mass | EN15804, U",ea4e912e-3f98-4784-b421-4adcf185211c,1,kg,20.4,MJ
"structural timber production | wood chips, dry, measured as dry mass | EN15804, U",c5de4877-38d1-4a35-b80e-0f145921e809,1,kg,20.4,MJ
