Process Name,UUID,Qty,Unit
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",abc27eb5-303e-44b1-84cd-07b9c831d1be,1,MJ
"electricity production, wind, 2.3MW turbine, precast concrete tower, onshore | electricity, high voltage | EN15804, U",6002fb40-205b-427c-af4d-9adaefbf5384,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",25787f17-ac5a-49c8-857c-06f1110c9293,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",56fc8666-7bbe-4aaf-a377-eab0b47c3968,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",eca3c773-d7da-4f3b-971a-6561860aca02,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",658f3b5f-2d3b-4f87-b084-0134f5ee7e7c,1,MJ
"electricity production, wind, 1-3MW turbine, onshore | electricity, high voltage | EN15804, U",e4c1a290-12f1-4dd3-bae5-1dd057b67281,1,MJ
"market group for electricity, high voltage | electricity, high voltage | EN15804, U",d63f63bd-4d6a-4a5a-b73a-10e1cf0c4a4a,1,MJ
"electricity, high voltage, import from HR | electricity, high voltage | EN15804, U",7b225a00-c319-482a-a58c-d1fe8716fbb3,1,MJ
"electricity, high voltage, import from MN | electricity, high voltage | EN15804, U",e3a0d55e-9a4a-4b4c-bfc8-dc95dc3e1afd,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",16d6152a-07c0-43ca-84fd-bcdcd07b9fb7,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",f1116653-a9a5-41f9-978a-c2574ac7a7bf,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",d42d459f-7e70-4aa3-9686-062af9024ac4,1,MJ
"electricity production, deep geothermal | electricity, high voltage | EN15804, U",9a2ebfbe-1c03-4de8-bceb-840c6b05d941,1,MJ
"electricity, high voltage, import from GE | electricity, high voltage | EN15804, U",134901b2-08bb-4ccc-8a85-64fa939c5b97,1,MJ
"electricity, high voltage, import from AL | electricity, high voltage | EN15804, U",25bf0a32-6d56-4f70-8d51-afc0d0a65759,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",b2ddfff8-1f2c-44f9-98a9-de0f99422e91,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",4a325728-88c5-48f3-9f94-53ded34fcff9,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",0e4ee4e3-800b-4764-9f76-e52ff6d9f273,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",46309d05-cbe8-4d6d-80a2-44dae32cb65c,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",15a5015d-cbab-404f-903e-d26835994bac,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",651aa0d5-d915-41ba-92c5-d2fb468543e5,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",1d0278b7-309c-4929-91e4-fb5d5bb70d8c,1,MJ
"electricity production, wind, 1-3MW turbine, onshore | electricity, high voltage | EN15804, U",376dfc91-3d49-4b31-9396-91dd4ce9bd34,1,MJ
"heat and power co-generation, biogas, gas engine | electricity, high voltage | EN15804, U",a1edc9a0-b534-42fc-a764-645ecc93e458,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",17707577-0421-4757-a500-ee1f5688ed8c,1,MJ
"electricity production, wind, >3MW turbine, onshore | electricity, high voltage | EN15804, U",903027fc-b63d-425f-a0b7-b365977ccec4,1,MJ
"heat and power co-generation, oil | electricity, high voltage | EN15804, U",56a308be-f79a-4eb8-823d-7d8cd43c4ab4,1,MJ
"heat and power co-generation, wood chips, 6667 kW | electricity, high voltage | EN15804, U",fb7a8c27-9ae2-4f37-b1e8-ed46dbf252f4,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",b5f344a7-78ec-43da-b8e5-fb2a1eda5c8b,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",c8aa22c1-014c-466c-9681-ad5f1be8d083,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",e83f1326-8279-4f89-8c0f-b1c6e4350b37,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",09a9be5f-612a-42e1-a809-71818d41b2ed,1,MJ
"electricity, high voltage, import from AZ | electricity, high voltage | EN15804, U",2235f7d4-88b4-4c4f-8f18-665bc235f284,1,MJ
"electricity production, lignite | electricity, high voltage | EN15804, U",570eb5d3-95b2-4d6c-8442-5e2500e38e94,1,MJ
"heat and power co-generation, natural gas, 500kW electrical, lean burn | electricity, high voltage | EN15804, U",802641e1-494f-469a-99d8-0a0f5f065770,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",d1e9acc0-0e42-4702-b936-ed7e078401aa,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",a3e9c3a3-4ed4-48f5-8970-17a3e7fe6f19,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",688e9ecf-e89f-48e8-9d73-7a3ff55fc939,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",8800131a-a85f-4d7c-9087-a26e1a93f1ff,1,MJ
"treatment of coal gas, in power plant | electricity, high voltage | EN15804, U",683ee0e1-50d6-426b-903b-190046a1080c,1,MJ
"electricity, high voltage, import from RS | electricity, high voltage | EN15804, U",c8798982-9c01-45dc-9985-0177d376ffff,1,MJ
"ethanol production from wood | electricity, high voltage | EN15804, U",bed330b4-9d69-4a27-9c93-5fc914cbd258,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",08a3e46b-8f71-4a5b-87fa-7410a443eaca,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",0c370556-48df-4015-8b25-25603333690c,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",b681971a-2ed2-408d-b9d6-e0668d662e57,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",883ddafc-1d04-4da3-89de-409f8990c4d3,1,MJ
"heat and power co-generation, hard coal | electricity, high voltage | EN15804, U",bef4d0d8-665d-4f35-9ee2-f9b15662ac11,1,MJ
"electricity production, hydro, pumped storage | electricity, high voltage | EN15804, U",00d5edf1-1481-40c4-bf6b-4ddfc52e0154,1,MJ
"electricity production, hydro, run-of-river | electricity, high voltage | EN15804, U",4fb77e1a-82aa-44f7-98c1-b69ca5a49855,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",07c174d4-0137-4a40-be49-d3370c3fce8f,1,MJ
"electricity production, hydro, reservoir, non-alpine region | electricity, high voltage | EN15804, U",b3299563-bc3e-43b2-94c7-7870841f80cb,1,MJ
"electricity production, oil | electricity, high voltage | EN15804, U",d830fa50-9c78-480b-8b56-1fc4a5016071,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",f7289c63-a03e-4ca4-9524-bc33fc0b2c09,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",0736f17e-8b63-413d-8802-8c67a125ecb7,1,MJ
"electricity, high voltage, import from ZW | electricity, high voltage | EN15804, U",f67f58c1-15b4-4a7e-a725-29913f623a80,1,MJ
"electricity production, deep geothermal | electricity, high voltage | EN15804, U",5afe805c-409d-4c1d-85bc-8928c7440b86,1,MJ
"electricity production, hard coal | electricity, high voltage | EN15804, U",85e2b210-de3c-43e6-a1e7-01511e1758a1,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",36bb7f07-4463-47bb-9f2e-a3772d120ce0,1,MJ
"heat and power co-generation, wood chips, 6667 kW | electricity, high voltage | EN15804, U",2b0fc003-48bd-4cc9-980c-1dd8e1b65924,1,MJ
"electricity, high voltage, import from EE | electricity, high voltage | EN15804, U",6e000be8-bca2-4f3c-aeec-2a02479ab0a9,1,MJ
"sulfate pulp production, from hardwood, bleached | electricity, high voltage | EN15804, U",035e4bdb-f742-4d87-9c67-0ea5344455d9,1,MJ
"electricity, high voltage, import from RS | electricity, high voltage | EN15804, U",71175d8e-b97a-47a6-b8ee-53ebfe0acc11,1,MJ
"electricity production, natural gas, conventional power plant | electricity, high voltage | EN15804, U",171989c1-661a-4aa8-a669-3aca8e291ef3,1,MJ
"electricity, high voltage, production mix | electricity, high voltage | EN15804, U",34bb0eb2-3557-4a95-8125-85abbe081b6a,1,MJ
"heat and power co-generation, oil | electricity, high voltage | EN15804, U",1047dc19-9f09-4953-9031-2236fd14cd9e,1,MJ
"heat and power co-generation, wood chips, 2000 kW | electricity, high voltage | EN15804, U",91b5a240-b132-42b5-9630-87adf7a7d7e5,1,MJ
"electricity production, wind, <1MW turbine, onshore | electricity, high voltage | EN15804, U",be57bc22-0ace-4b98-8e6a-b45925b348b0,1,MJ
"electricity production, natural gas, combined cycle power plant | electricity, high voltage | EN15804, U",807d7058-9cca-4deb-8e3e-9df4227ac7f5,1,MJ
"electricity production, nuclear, pressure water reactor, heavy water moderated | electricity, high voltage | EN15804, U",c4d688f8-16b2-4324-8d99-f581f0ddc182,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",cbb6f447-bb41-42fc-87bf-fc316461953e,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",5961a36f-8a27-4073-a9e5-69ad558ea38e,1,MJ
"heat and power co-generation, biogas, gas engine | electricity, high voltage | EN15804, U",468184b8-8b8a-4a3a-ada4-eb1e68f450d5,1,MJ
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical | electricity, high voltage | EN15804, U",733dd3fa-2892-4ef1-ac1e-4380aff59cec,1,MJ
"heat and power co-generation, biogas, gas engine | electricity, high voltage | EN15804, U",d10e34ae-ac2a-42b6-8295-14f7f1db8e42,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",c9026889-faac-40ca-82de-c173e690b7ac,1,MJ
"electricity production, wind, 1-3MW turbine, onshore | electricity, high voltage | EN15804, U",3ddf3094-58de-4cbf-ba48-d6a586343afe,1,MJ
"market for electricity, high voltage | electricity, high voltage | EN15804, U",ee350ea3-3f6a-4b4e-af74-20211afaf368,1,MJ
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical | electricity, high voltage | EN15804, U",459b6988-d725-4d16-bf14-cdc64283e752,1,MJ
"electricity, high voltage, import from NO | electricity, high voltage | EN15804, U",e66ece89-669f-40e9-9706-9daf4e9b6132,1,MJ
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | electricity, high voltage | EN15804, U",03b1a3d3-e2fd-4e28-a306-31d55b7a597d,1,MJ
