Name,Amount,Unit,UUID,GWP (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N20 [kg]
Electricity - WIND - Salt River Project Agricultural Improvement and Power District,1.0,MJ,d66e0e2c-0522-3d30-b0e2-0d1af159bc30,0.010819585841736498,3.0307293576779856e-05,1.9964681802097355e-05,5.948860904358109e-12,0.0003280352189861819,0.010115866700000763,2.3627250052824793e-05,3.682719789215235e-08
Electricity - SOLAR - Duke Energy Carolinas,1.0,MJ,ce2f3242-f92a-386a-beb9-0841f682f6c7,0.009899016933508083,2.8867733776779528e-05,2.301733792488253e-06,2.0535588479309752e-10,0.0004829328061043067,0.009083434777956475,2.1263962675028987e-05,2.8930257815664112e-08
"Electricity - WIND - Associated Electric Cooperative, Inc.",1.0,MJ,0500cdc9-aa26-3046-845c-b423dd6b8aa6,0.008013041502803174,2.2138007973936717e-05,1.5570926593938637e-05,3.618822902126396e-12,0.00024063505830420343,0.0075006607941068655,1.735291482581757e-05,2.8494583945591935e-08
Electricity - OIL - Duke Energy Progress East,1.0,MJ,dacf1e78-b58d-3c90-a9f8-9abbbe4f1dd7,0.3611548938103333,0.0034690152243374893,0.0003792428724615712,1.5636725682414848e-08,0.10530778148577148,0.3367431943933107,0.0007649187787974665,4.206922131948215e-06
Electricity - SOLAR - South Carolina Electric & Gas Company,1.0,MJ,65449d6f-60aa-377f-afac-02d72c16d0ad,0.3118702622939342,0.0009009159834555359,7.364825585208282e-05,6.356139319632091e-09,0.015128577818777338,0.2860719350256387,0.0006632442270700824,8.81452761091481e-07
"Electricity - SOLAR - Duke Energy Florida, Inc.",1.0,MJ,e26837be-5875-3706-8fe0-eab6e1b3c520,0.015926132860963907,4.714092973354527e-05,3.5898275718654403e-06,3.386720512261408e-10,0.0007831662128790818,0.014622504158766118,3.4751952403635496e-05,4.885571498736013e-08
Electricity - SOLAR - Salt River Project Agricultural Improvement and Power District,1.0,MJ,059b9269-3957-3b50-9e87-b90d1cee97c1,0.003565368645541716,1.0553665826816598e-05,8.051464805006984e-07,7.506645819482831e-11,0.0001743993955003567,0.003273141510656299,7.781554660627641e-06,1.0753882472331302e-08
Electricity - SOLAR - South Carolina Public Service Authority,1.0,MJ,38896fe1-497b-306b-8bad-fbc5fa8698a4,0.006960702005188009,2.009373638304619e-05,1.639836545139829e-06,1.4106638067833746e-10,0.00033790435154184114,0.006386394734332945,1.4779966803126184e-05,1.9801719698047085e-08
Electricity - WIND - Avista Corporation,1.0,MJ,03be8b5a-8943-3734-b827-f69fb42ab9d6,0.008126452645330027,2.222931626442457e-05,1.643098587878673e-05,3.052524081680098e-12,0.00024256004624111392,0.007613005935983907,1.750902241701634e-05,2.9829086459426306e-08
"Electricity - OIL - PJM Interconnection, LLC",1.0,MJ,8e409c75-fa69-376b-9bbf-33ef82c74140,0.4178737033149677,0.0008379298571592667,4.755043556799549e-05,7.366567212403487e-09,0.00843892980775228,0.4010725174048119,0.000562064406874945,2.869675701238569e-06
