Status ,CLF Baselines Report Category 1,CLF Baselines Report Category 2,product,Method,Data Source,Scale Factor,Value,CLF report GWP value (kg CO2e / declared unit),Declared qty,Declared unit,Baseline method A (data source),Baseline method B (calculation),CLF data source representativeness assessment approach,Data source (short) and notes,Data Source - full,Data source(s) include additional life cycle stage info beyond A1-A3,Geography,Density,Density unit,,sctg code,FYI Transport Descriptin,waste_rate_category,eol material,DRF Category,,compressive strength (psi),weight classification,Intented Application for insulation ,Service Life [yr] for insulation material,Thickness  (m) when RSI=1 for insulation material,RSI /inch (or 25.4mm) for insulation material (m2C/W),GWP-total (AR5) [kg CO2 eq],GWP-fossil (AR5) [kg CO2 eq],GWP-biogenic (AR5) [kg CO2 eq],GWP-luluc (AR5) [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP/SFP [kg O3 eq],ADP fossil (MJ),CO2 [kg],CH4 [kg],N2O [kg],Stored Biogenic Carbon?,Biomaterial Type/Species/Category,carbon fration of biomass (may use 0.5 as a default value),mositure content (%),ratio between the molecular mass of CO2 and C molecules,biamass weight percentage of product (%) (base on dry mass).,C (dry mass basis) (based on calculation),%C (dry mass basis) (based on reference),Density Needed?,Density based on mositure content [kg/unit],Density based on oven dry  [kg/unit],Biogenic Carbon Content [kg C/unit],Biogenic CO2 Content [kg CO2/unit],GWP-total - Biogenic CO2 stored [kgCO2eq],GWP-biogenic - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential,Mineral C
,Steel,Structural steel,"Hot-rolled sections, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec31hutp,1.042105263,High-80th%,"1,188",1,metric ton,N/A,N/A,N/A,Fabricated Structural Steel Sections,Steel Dynamics Inc (2022),FALSE,North Ameica,7800,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1140,N/A,N/A,N/A,6.04,0.136,1.61E-09,37.2,1.16E+04,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Hot-rolled sections, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec369bzg,0.957324106,Low-20th%,830,1,metric ton,N/A,N/A,N/A,Fabricated Structural Steel ,Gerdau Long Steel North America (2021),FALSE,North Ameica,7870,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,867,N/A,N/A,N/A,2.45,2.36,6.62E-05,41.8,9.51E+03,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Steel plate, unfabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/epd-aisc-plate-2021.pdf,1.002490566,Baseline,"1,480",1,metric ton,Industry,single,industry data,"Steel plate industry-average EPD (AISC, 2021b). CLF converted from the industry EPD's fabricated result to unfabricated GWP. ",American Institute of Steel Construction (AISC). (2021). Environmental Product Declaration - Fabricated Steel Plate. UL Environment.,FALSE,North Ameica,7800,kg/m3,,322,Flat-rolled products of iron or steel.,p_custom,Steel,1,,N/A,,,,,,1476.32312,N/A,N/A,N/A,3.175487465,0.151346332,2.96E-12,47.16805942,1234.911792,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Steel plate, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3rp40f,1.613442038,High-80th%,"2,352",1,metric ton,N/A,N/A,N/A,"Fabricated Steel Plate, converted from the  EPD's fabricated result to unfabricated","Alliance Steel Fabrication, Evraz-Portland OR (2023)",FALSE,North Ameica,N/A,N/A,,322,Flat-rolled products of iron or steel.,p_custom,Steel,1,,N/A,,,,,,1457.753018,N/A,N/A,N/A,5.812441968,7.530176416,0.000133705,103.0640669,N/A,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Steel plate, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3npnyj,0.967286916,Low-20th%,961,1,metric ton,N/A,N/A,N/A,"fabricated Construction Grade Steel Plate, converted from the  EPD's fabricated result to unfabricated",Nucor Steel - Hertford- Plate Mill  (2023),FALSE,North Ameica,7861,kg/m3,,322,Flat-rolled products of iron or steel.,p_custom,Steel,1,,N/A,,,,,,993.5004643,N/A,N/A,N/A,3.723305478,0.147632312,4.39E-08,46.70380687,1077.065924,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Steel plate, fabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/epd-aisc-plate-2021.pdf,1,Baseline,"1,730",1,metric ton,Industry,single,industry data,"Steel plate industry-average EPD (STI, 2021) ",American Institute of Steel Construction (AISC). (2021). Environmental Product Declaration - Fabricated Steel Plate. UL Environment.,FALSE,North Ameica,7800,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1730,N/A,N/A,N/A,3.76,0.191,1.62E-09,57.5,1510,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Steel plate, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3rp40f,1,High-80th%,"1,830",1,metric ton,N/A,N/A,N/A,Fabricated Steel Plate,"Alliance Steel Fabrication, Evraz-Portland OR (2023)",FALSE,North Ameica,7800,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1830,N/A,N/A,N/A,7.19,8.17,1.44E-04,126,N/A,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"Steel plate, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3x76uf,0.858156028,Low-20th%,"1,210",1,metric ton,N/A,N/A,N/A,Fabricated Construction Grade Steel Plate,Nucor Steel - Tuscaloosa - Plate Mill (2023),FALSE,North Ameica,7861,kg/m3,,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,,N/A,,,,,,1410,N/A,N/A,N/A,4.23,0.339,5.12E-09,64.6,1730,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"HSS, unfabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/aisc_epd_fab-hss.pdf,0.995497297,Baseline,"1,710",1,metric ton,Industry,single,industry data,"HSS industry-average EPD (STI, 2021),converted from the  EPD's fabricated result to unfabricated",Steel Tube Institute (STI). (2021). Environmental Product Declaration - Hollow Structural Sections. UL Environment.,FALSE,North Ameica,7800,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,,N/A,,,,,,1717.734448,N/A,N/A,N/A,3.723305478,0.186629526,-2.18E-12,63.97400186,1485.608171,,,,No,,,,,,,,,,,,,,,,,,
,Steel,Structural steel,"HSS, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3uqkdz,1.040696629,High-80th%,"1,720",1,metric ton,N/A,N/A,N/A,"fabricated HSS - Plymouth, MI - AVERAGE STEEL SUPPLY MIX, converted from the  EPD's fabricated result to unfabricated",Atlas Tube (2024),FALSE,North Ameica,7850,kg/m3,,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,,N/A,,,,,,1652.73909,N/A,N/A,N/A,4.094707521,1.504178273,7.96E-06,64.06685237,16434.54039,,,,No,,,,,,,,,,,,,,,,,,
