Flow,Qty,Unit,UUID,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Elec_Qty,Elec_Unit,Elec_GWP,Elec_AP,Elec_EP,Elec_ODP,Elec_POCP,Elec_CO2,Elec_CH4,Elec_N2O
"Polylactide, PLA, biopolymer resin, at plant",1,kg,e281027f-cf37-32f2-af55-234cb0cb4fa4,-0.228359102,0.007015933,0.001022338,4.03E-09,0.189690455,-0.455135528,0.00447071,0.000383066,1.639253763,MJ,0.263414398,0.000569494,3.02E-05,3.93E-09,0.01209361,0.249277021,0.00047213,3.15E-06
"Polyol ether, for flexible foam polyurethane production, at plant",1,kg,44a82a4a-95fd-3c31-9829-cf0763dd3a93,3.222195167,0.006710875,0.000692827,2.70E-08,2.623669616,2.908653214,0.009425388,0.000186292,6.931520261,MJ,0.621068606,0.001342731,7.11E-05,9.25E-09,0.028513862,0.587736027,0.001113171,7.43E-06
"Polyol ether, for rigid foam polyurethane production, at plant",1,kg,1d7ac207-310f-3366-8f9c-e951b61d31ce,2.917583344,0.00873196,0.001673058,5.60E-09,0.188273851,2.427574492,0.013710062,0.00040008,0,MJ,0,0,0,0,0,0,0,0
"Polypropylene, PP, virgin resin, at plant",1,kg,2e8facf6-46aa-4ddb-95de-a4e2a00eb2bb,2.021957829,0.003861669,0.000584747,3.72E-09,3.762661949,1.757438929,0.007440676,0.00021181,1.357971195,MJ,0.123734501,0.00026751,1.42E-05,1.84E-09,0.005680771,0.117093705,0.000221775,1.48E-06
"Polystyrene, expanded, EPS, virgin resin; batch suspension polymerization; industry average, at plant",1,kg,cf1241fd-8c01-3412-9030-8650b8e75669,3.23042817,0.00556046,0.001787088,1.11E-08,0.170448311,2.990934047,0.007751698,8.43E-05,1.695634705,MJ,0.258090758,0.000557984,2.96E-05,3.85E-09,0.011849197,0.244239099,0.000462588,3.09E-06
"Polystyrene, general purpose, GPPS, resin; at plant",1,kg,13821cca-f344-37b9-a367-0467be778061,3.165264463,0.005480135,0.001847441,6.10E-08,0.159828191,2.927704772,0.007616636,8.46E-05,1.484036043,MJ,0.223448672,0.000483089,2.56E-05,3.33E-09,0.010258745,0.211456244,0.000400498,2.67E-06
"Polystyrene, high impact, HIPS, resin; at plant",1,kg,d1c572b0-c244-3193-81fb-3a64bfb13e4d,3.229629716,0.00557877,0.001838507,6.11E-08,0.166807143,2.981389805,0.007988394,8.56E-05,1.569984717,MJ,0.236793291,0.00051194,2.71E-05,3.53E-09,0.01087141,0.224084661,0.000424416,2.83E-06
"Polyvinyl chloride, PVC, virgin resin; at plant",1,kg,3dbccdda-2014-4239-ad1f-4e15c034942b,1.890394384,0.003578151,0.000335337,2.09E-06,0.102054717,1.693761057,0.005752972,0.00011507,4.842536947,MJ,0.368756809,0.000797241,4.22E-05,5.50E-09,0.016929983,0.348965734,0.000660941,4.41E-06
"Portland cement, at plant",1,kg,62993671-574c-3fc5-b66a-6be3bb21ad3d,1.342972944,0.005947577,0.000157547,6.37E-09,0.082886007,1.313284577,0.000673701,4.07E-05,0.534302998,MJ,0.085858032,0.000185622,9.83E-06,1.28E-09,0.003941825,0.081250056,0.000153887,1.03E-06
"Post, softwood, CCA treated, SE",1,m3,76c3919e-b238-3345-810b-c1734513a6a9,375.0017388,1.10918654,0.195560794,2.56E-05,34.99129731,367.0641705,0.243173348,0.003940899,478.7975871,MJ,76.93877602,0.166339204,0.008810508,1.15E-06,3.532333786,72.80949339,0.13790107,0.000920416
"Potassium sulphate alum, as K2O, hardboard",1,kg,d42c11eb-98d2-3cf5-add5-d7c65431bfa3,23.7449767,0.069310725,0.013291357,5.92E-08,1.317247692,23.53325867,0.006438002,0.000117291,3.078866668,MJ,0.494748176,0.00106963,5.67E-05,7.37E-09,0.022714368,0.46819518,0.000886761,5.92E-06
"Prefinished engineered wood flooring, at engineered wood flooring plant, E",1,m3,b5e2775b-9779-3a61-ab7b-a44bbc5e0f4e,1203.855089,2.432072762,0.450867249,9.05E-05,68.23081274,1165.138058,1.261953425,0.011385403,2997.422677,MJ,481.4958417,1.041092271,0.055140596,7.17E-06,22.10622264,455.6544383,0.862994575,0.005760286
"Pressed raw panels, hardwood, at engineered wood flooring plant, E",1,kg,4b4bf45b-2bfd-3e0f-bdde-bae1bd5d7c41,1.256858964,0.002434138,0.00056802,1.23E-07,0.075377432,1.222343937,0.001140452,8.21E-06,2.320526861,MJ,0.372869141,0.000806131,4.27E-05,5.56E-09,0.017118784,0.352857358,0.000668311,4.46E-06
"Pressed raw panels, purchased, hardwood, at eng wood flooring plant, E",1,kg,89268f85-c58a-3224-8a61-28e8848a2797,1.303421195,0.002622614,0.000600517,1.24E-07,0.081811205,1.268411261,0.001149078,9.16E-06,2.338948048,MJ,0.375829272,0.000812531,4.30E-05,5.60E-09,0.017254686,0.35565862,0.000673617,4.50E-06
"Propylene oxide, at plant",1,kg,fa3871c0-d563-3300-9ec7-f26aafdabfa5,3.263399385,0.006725245,0.000686931,1.69E-08,3.031613147,2.94057445,0.009690897,0.000193336,7.733674446,MJ,0.707087634,0.001528701,8.10E-05,1.05E-08,0.032463079,0.669138438,0.001267347,8.46E-06
"Propylene, materials production, organic compound, at plant, kg",1,kg,49d309a8-0c93-4eeb-a342-2fe2254a0bec,1.805330783,0.003472463,0.000556632,2.30E-09,3.701684512,1.56114807,0.006766511,0.000206413,0.300590643,MJ,0.034997139,7.57E-05,4.01E-06,5.22E-10,0.001606753,0.033118852,6.27E-05,4.19E-07
"Pulp, kraft market, bleached, average production, at mill",1,kg,cbf4023b-71f7-36b7-8c45-ea43bc2f108c,3.908423181,0.007164495,0.001185586,6.12E-07,0.097433761,3.855311955,0.001224104,6.85E-05,0.866768057,MJ,0.129750459,0.000280516,1.49E-05,1.93E-09,0.005956969,0.122786788,0.000232558,1.55E-06
"Pultruded product, at plant",1,kg,ccd72499-f6f6-45d1-856a-e8833f80dec8,2.33701542,0.005409703,0.000570049,2.31E-08,0.136693442,2.187790511,0.004836001,5.08E-05,6.843609551,MJ,1.092465089,0.002361875,0.000125102,1.63E-08,0.050156131,1.033832792,0.001958078,1.31E-05
"Purified terephthalic acid, PTA, at plant, kg",1,kg,e893cef4-aab1-4b77-944d-1dc4f669419a,1.500426924,0.002195001,0.001493018,5.25E-07,0.069234493,1.330386919,0.005949337,1.26E-05,2.204836319,MJ,0.312867344,0.000676409,3.58E-05,4.66E-09,0.014364043,0.296075841,0.000560767,3.74E-06
"Pyrolysis gasoline, at plant",1,kg,19b638bc-033c-3812-a020-18eb2ff8e8eb,1.628347986,0.003372206,0.001193559,6.48E-09,0.105875955,1.413594764,0.007580235,9.25E-06,0.803431092,MJ,0.104621067,0.000226187,1.20E-05,1.56E-09,0.004803255,0.099006083,0.000187517,1.25E-06
"Quicklime, at plant",1,kg,9c0c2415-126f-3162-8479-f002f315a8c7,1.384420117,0.004004634,7.17E-05,8.93E-09,0.031566011,1.340654288,0.000946386,6.51E-05,0.29915515,MJ,0.048071736,0.00010393,5.50E-06,7.16E-10,0.00220702,0.045491739,8.62E-05,5.75E-07
"Railroad tie, hardwood, rough, green, at sawmill, SE",1,kg,bbb16d92-dd0c-33c5-92c7-feca45646d83,0.04050746,0.000210259,2.37E-05,3.47E-10,0.006822958,0.039328965,3.53E-05,6.93E-07,0.113880674,MJ,0.018299674,3.96E-05,2.10E-06,2.73E-10,0.000840156,0.017317535,3.28E-05,2.19E-07
"Railroad ties, hardwood, creosote treated, SE",1,m3,a24e59f5-c156-398d-9a15-7d853ef2bf37,584.1218094,3.135368568,0.149703642,1.69E-05,39.76671234,538.3724293,1.213422061,0.0442833,202.2863473,MJ,32.50572766,0.070276357,0.003722336,4.84E-07,1.492369466,30.76115433,0.05826158,0.000388865
"Rapeseed, whole plant, at field",1,kg,5abfba66-c3cb-38f2-8b01-9f566c5ab656,1.910094986,0.030337937,0.019153263,6.35E-10,0.572698757,0.267230134,0.000172371,0.006181261,0.044958304,MJ,0.007224424,1.56E-05,8.27E-07,1.08E-10,0.00033168,0.006836691,1.29E-05,8.64E-08
"Recycled postconsumer high-density polyethylene, HDPE, pellet",1,kg,b15aa6b2-a8be-3afc-a149-0a1a13facb12,0.546257739,0.001571181,0.000218125,5.04E-09,0.045764747,0.526508297,0.000607985,9.93E-06,1.838106131,MJ,0.295258276,0.000638339,3.38E-05,4.40E-09,0.013555594,0.279411847,0.000529206,3.53E-06
"Recycled postconsumer polyethylene teraphthalate, PET, flake",1,kg,f7b7280d-f372-3a4b-86cf-caa588ca67ea,0.743242186,0.001922464,0.001593481,1.15E-08,0.056413634,0.707666875,0.001140261,1.33E-05,1.908170508,MJ,0.296845966,0.000641772,3.40E-05,4.42E-09,0.013628486,0.280914326,0.000532051,3.55E-06
"Recycled postconsumer polyethylene teraphthalate, PET, pellet",1,kg,22ebc7fb-f03f-37dc-be57-b73d2c577414,1.021495853,0.002524039,0.001625345,1.56E-08,0.06918853,0.970986746,0.001638989,1.67E-05,3.633121453,MJ,0.574031186,0.001241037,6.57E-05,8.55E-09,0.026354328,0.543223092,0.001028864,6.87E-06
"Residual fuel oil, combusted in industrial boiler",1,m3,9d9b6815-9349-30af-869b-57362428c42e,4037.184983,11.35220393,2.289678551,9.85E-06,224.2430385,4018.572972,0.477770852,0.019540752,374.4962767,MJ,60.17842598,0.130103857,0.006891226,8.97E-07,2.76284987,56.94866665,0.107860689,0.000719912
"RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)",1,m3,7ee5b4ca-1a5e-3d26-8e79-0805a115e444,4036.065731,1.309650513,1.977196567,9.85E-06,49.73922642,4017.464018,0.477616042,0.019518329,374.4030858,MJ,60.16345097,0.130071481,0.006889512,8.97E-07,2.762162352,56.93449535,0.107833848,0.000719733
"Rice, at field",1,kg,4c6eed4c-5f5e-30c7-8948-956c79c4806d,1.717263798,0.007841266,0.004262422,9.97E-10,0.177707812,0.245975597,0.044766423,0.000821948,0.208321436,MJ,0.033475516,7.24E-05,3.83E-06,4.99E-10,0.001536893,0.031678894,6.00E-05,4.00E-07
"Roundwood, hardwood, green, at logyard, NE-NC",1,m3,baaac50f-23d5-3bd1-8970-1cae058f4234,22.28366054,0.131553267,0.017316456,1.01E-07,4.497320959,21.93362075,0.008260074,0.000443361,21.31717818,MJ,3.425492613,0.007405807,0.000392264,5.10E-08,0.157267686,3.24164738,0.006139675,4.10E-05
"Roundwood, hardwood, green, at logyard, SE",1,m3,4a42fda8-640a-3152-9741-f64c558be34d,10.33152592,0.056560709,0.007545225,6.03E-08,1.916437728,10.15340689,0.004430761,0.000201232,12.38648979,MJ,1.990405527,0.004303194,0.000227928,2.97E-08,0.091381447,1.883581018,0.0035675,2.38E-05
"Roundwood, hardwood, green, at mill, E",1,m3,640186a9-d4e0-39cd-9c23-95c215738edd,24.46244435,0.142643446,0.020597825,6.14E-08,4.96547021,24.2499354,0.002643855,0.000521371,2.31817394,MJ,0.372511204,0.000805357,4.27E-05,5.55E-09,0.01710235,0.352518632,0.00066767,4.46E-06
"Roundwood, hardwood, green, at mill, NE-NC",1,m3,655c14ed-5b78-3e50-96e5-e21f710143fe,12.55094697,0.053053441,0.009201925,3.10E-08,1.831584947,12.44438988,0.001264752,0.000267863,1.169617294,MJ,0.187947737,0.000406337,2.15E-05,2.80E-09,0.008628863,0.177860635,0.000336868,2.25E-06
"Roundwood, hardwood, green, at mill, SE",1,m3,6baa9816-6151-3af1-b230-d28bebfb5227,5.880126098,0.024855569,0.004311107,1.45E-08,0.858098634,5.830204035,0.000592537,0.000125494,0.547966396,MJ,0.088053626,0.000190369,1.01E-05,1.31E-09,0.004042627,0.083327813,0.000157823,1.05E-06
"Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE",1,m3,35bd31d8-b0b1-3da8-a553-df33ccd9e452,594.2541684,0.912223006,0.297221302,8.02E-05,26.43708178,586.967348,0.234456492,0.001894184,479.7517404,MJ,77.09210049,0.166670687,0.008828066,1.15E-06,3.539373061,72.95458897,0.138175881,0.00092225
"Sawn lumber, hardwood, rough, green, at sawmill, NE-NC",1,kg,2468b04f-b9b1-364d-bfbf-8ba12178096e,0.112032242,0.00041798,5.79E-05,4.83E-09,0.013193516,0.109083534,9.07E-05,1.46E-06,0.263913882,MJ,0.042408758,9.17E-05,4.86E-06,6.32E-10,0.001947027,0.040132692,7.60E-05,5.07E-07
"Sawn lumber, hardwood, rough, green, at sawmill, SE",1,kg,ce587724-1be4-3da0-b7a2-988592c28b9a,0.054877887,0.000201716,2.11E-05,7.84E-10,0.005980658,0.052785857,6.66E-05,8.09E-07,0.223622662,MJ,0.035934295,7.77E-05,4.11E-06,5.35E-10,0.001649778,0.034005712,6.44E-05,4.30E-07
"Sawn lumber, hardwood, rough, kiln dried, at kiln, NE-NC",1,m3,8fd8357b-5ce1-3ef9-9b14-8d38a8495c79,429.0327849,0.741460052,0.214952951,5.27E-05,27.27395617,422.4881042,0.210711827,0.001893934,302.008285,MJ,48.53021072,0.104920783,0.005557352,7.23E-07,2.228069016,45.92560786,0.086983032,0.000580565
"Sawn lumber, hardwood, rough, kiln dried, at kiln, SE",1,m3,7423f694-8370-3bac-8937-f07e9edf8b68,571.6895499,0.84237419,0.291460861,7.97E-05,24.5582375,565.4525754,0.199851641,0.001613093,381.4608003,MJ,61.29756678,0.132523404,0.007019383,9.13E-07,2.814230709,58.00774348,0.109866579,0.000733301
"Secondary bonding application, rigid composites part, at plant",1,kg,21ca86bd-890c-3ede-a79c-09e42f9b9ca2,2.279729128,0.004191532,0.001111886,3.80E-08,0.238242395,2.104538435,0.005513245,7.82E-05,1.723593435,MJ,0.25958001,0.000561204,2.97E-05,3.87E-09,0.01191757,0.245648423,0.000465258,3.11E-06
"Single-ply, white, polyester reinforced PVC roofing membrane, 40 mils - 1.016 mm",1,m2,3614b7fc-8ce3-396c-a092-cce24460b44f,4.545078835,0.022728726,0.061177276,5.43E-07,0.254308208,4.058461931,0.014007348,0.000310297,0,MJ,0,0,0,0,0,0,0,0
"Single-ply, white, polyester reinforced PVC roofing membrane, 48 mils - 1.219 mm",1,m2,662f589e-3363-3b4d-92a4-c98f68bc3339,5.657925987,0.028161452,0.076352979,6.95E-07,0.314861315,5.047629849,0.017563358,0.000390129,0,MJ,0,0,0,0,0,0,0,0
"Single-ply, white, polyester reinforced PVC roofing membrane, 60 mils - 1.524 mm",1,m2,d91ee594-22ae-390a-93ed-1f6b7be34714,6.917060735,0.034740035,0.099535119,8.71E-07,0.391289985,6.16850703,0.021472249,0.000486058,0,MJ,0,0,0,0,0,0,0,0
"Single-ply, white, polyester reinforced PVC roofing membrane, 80 mils - 2.032 mm",1,m2,d5b7de33-7b2e-3807-9790-76a0254cc6bf,8.979810926,0.043224917,0.10963654,1.20E-06,0.480757655,8.160485837,0.022380866,0.000634812,0,MJ,0,0,0,0,0,0,0,0
"Slack wax, at plant, US SE",1,kg,2c79b9d3-e5f9-34a8-990e-b7d6f9e4dd08,0.74223948,0.005802826,0.000523644,3.14E-09,0.218419894,0.728177248,0.000446703,5.81E-06,0.195543504,MJ,0.031422209,6.79E-05,3.60E-06,4.68E-10,0.001442624,0.029735788,5.63E-05,3.76E-07
"Soda powder, at plant",1,kg,4cb0c558-b0ac-3656-bc1f-95b477c14921,0.913073817,0.00258494,5.24E-05,5.98E-09,0.024240297,0.876697489,0.000896799,4.24E-05,0.343685776,MJ,0.055227436,0.0001194,6.32E-06,8.23E-10,0.002535545,0.052263395,9.90E-05,6.61E-07
"Sodium chloride, at plant",1,kg,5dacfb93-571f-3502-bf9e-1ce678de151d,0.149230418,0.000762306,5.28E-05,9.45E-10,0.018995469,0.140188856,0.000263653,6.24E-06,0.125704729,MJ,0.020199701,4.37E-05,2.31E-06,3.01E-10,0.000927388,0.019115588,3.62E-05,2.42E-07
"Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state",1,kg,344a7ac0-8c18-4869-bb63-3e44e811a1d9,0.5706408,0.001139664,6.06E-05,7.61E-09,0.026151631,0.530391673,0.001359603,7.79E-06,4.369296211,MJ,0.347495092,0.000751273,3.98E-05,5.18E-09,0.015953837,0.328845128,0.000622832,4.16E-06
"Soy biodiesel, production, at plant",1,kg,1fe9b61c-f684-3584-a5e9-98677caee0f3,2.43511402,0.010663496,0.005300224,1.80E-08,0.229335791,1.892498573,0.00315465,0.001713862,1.701391359,MJ,0.273045238,0.000590315,3.13E-05,4.07E-09,0.012535772,0.258390977,0.000489392,3.27E-06
"Soy oil, refined, at plant",1,kg,bc119cdf-7143-35e8-9adb-c3a92dc376b6,2.582254102,0.011674923,0.006193313,1.46E-08,0.248864705,1.983991765,0.002279408,0.002016369,1.802482662,MJ,0.288706563,0.000624174,3.31E-05,4.30E-09,0.013254798,0.273211763,0.000517463,3.45E-06
"Soy-based polyol, at plant",1,kg,0d1d9f2b-1295-328a-82a0-1f43b135007b,2.993734093,0.013398991,0.005790142,1.68E-08,0.255881613,2.392361373,0.004054314,0.001840319,3.099025635,MJ,0.497135497,0.001074791,5.69E-05,7.41E-09,0.022823973,0.470454374,0.00089104,5.95E-06
"Soy-based resin, at plant",1,kg,d65a4cea-4732-3b43-b305-a876438bfe51,5.016349573,0.029541668,0.006688774,4.00E-09,0.354795259,4.5245721,0.013886909,0.000388244,1.143601347,MJ,0.183654709,0.000397056,2.10E-05,2.74E-09,0.008431766,0.173798012,0.000329173,2.20E-06
"Soybean grains, at field",1,kg,956b53b9-dd05-35ae-a072-69f1f6906290,0.309899879,0.001531455,0.001099682,1.24E-09,0.034099259,0.209782493,0.000143365,0.000362626,0.127892531,MJ,0.020551262,4.44E-05,2.35E-06,3.06E-10,0.000943528,0.019448282,3.68E-05,2.46E-07
"Soybean oil, crude, degummed, at plant",1,kg,88aee762-4aa0-301f-b579-cca5d636aa0d,0.597878429,0.002709191,0.001440711,3.23E-09,0.057694675,0.458800846,0.000524929,0.000469271,0.418089294,MJ,0.06718346,0.000145249,7.69E-06,1.00E-09,0.003084458,0.063577742,0.000120416,8.04E-07
"Steam, purchased by containerboard mills",1,MJ,1e4fd434-9cd2-402a-8ebf-43891d0dd591,0.114452482,0.000811793,1.42E-05,2.23E-09,0.006194638,0.108137823,0.000129554,1.01E-05,0.006529293,MJ,0.001049203,2.27E-06,1.20E-07,1.56E-11,4.82E-05,0.000992892,1.88E-06,1.26E-08
"Steel product, primary structural, beams and columns, at plant",1,kg,60b5e1ee-3f9c-39e4-ad2f-68cfe3a71956,1.500555856,0.005765875,0.000259009,4.64E-09,0.082678068,1.416775537,0.002870113,1.29E-05,0,MJ,0,0,0,0,0,0,0,0
"Steel product, secondary structural, girts and purlins, at plant",1,kg,e0aa6dd1-b3ac-30ab-bd56-64f96bfa4a1b,2.418592072,0.00987039,0.000460392,3.32E-09,0.163350641,2.264076908,0.00508614,1.65E-05,0,MJ,0,0,0,0,0,0,0,0
"Steel, billets, at plant",1,kg,ac54bc7d-5db5-3b4f-9175-5dd02f678312,2.046602311,0.005473843,-0.008522083,3.88E-09,0.060309981,2.02214729,0.00085334,2.08E-06,0,MJ,0,0,0,0,0,0,0,0
"Steel, cold-formed studs and track, at plant",1,kg,2250f2f2-7faa-3307-9534-ca78b371b4dd,2.333309049,0.004599619,0.000315185,4.66E-10,0.079852646,2.225521924,0.003647821,1.81E-05,0.194070864,MJ,0.031185568,6.74E-05,3.57E-06,4.65E-10,0.00143176,0.029511847,5.59E-05,3.73E-07
"Steel, liquid, at plant",1,kg,5f23939e-be70-364e-95c2-baef329a95fe,1.962691467,0.005125582,-0.008527668,3.54E-09,0.057179045,1.94013737,0.00078719,1.90E-06,0,MJ,0,0,0,0,0,0,0,0
"Steel, stainless 304, flat rolled coil",1,kg,49f5324b-fc33-36e9-b5af-3c80d73492bd,7.839055119,0.053917168,0.001501988,5.00E-10,0.461692622,7.405261096,0.014134069,0.000143423,0,MJ,0,0,0,0,0,0,0,0
"Steel, stainless 304, quarto plate",1,kg,8560388b-7ea1-38b7-befc-fd25d5deb450,7.251261423,0.05149747,0.001421395,4.44E-10,0.441481374,6.869388695,0.012634298,0.000105974,0,MJ,0,0,0,0,0,0,0,0
"Steel, stainless 304, scrap",1,kg,34897ebd-aa3d-347c-91ee-876c3f835fdb,6.435910605,0.045080237,0.001279219,2.47E-10,0.385973033,6.137478601,0.00976721,9.40E-05,0,MJ,0,0,0,0,0,0,0,0
"Steel; cold rolled coil, at plant",1,kg,cc886340-1e9e-40fc-8bae-87ea661f00c7,1.988436037,0.003841707,0.000264325,-2.65E-15,0.066319573,1.89911625,0.003032809,1.38E-05,0,MJ,0,0,0,0,0,0,0,0
"Steel; hot rolled coil, at plant",1,kg,a591c53f-ce67-41da-b0c1-65b6d91a1a43,1.564893188,0.003349054,0.000216471,-2.32E-15,0.056220332,1.489724121,0.002542721,9.99E-06,0,MJ,0,0,0,0,0,0,0,0
"Steel; hot-dip galvanised coil, at plant",1,kg,dcfd311d-d8be-4c39-bd16-a5bd0dd9eec8,2.231545653,0.004400081,0.00030235,-1.83E-15,0.076132236,2.128523815,0.003487279,1.72E-05,0,MJ,0,0,0,0,0,0,0,0
"Steel; pickled hot rolled coil, at plant",1,kg,137b2f94-e29e-4870-a2c2-20dafd441f1d,1.801664166,0.003785048,0.000249556,-1.34E-15,0.066310721,1.715632137,0.00286493,1.69E-05,0,MJ,0,0,0,0,0,0,0,0
"Steel; plate, at plant",1,kg,f2ddc783-1192-43c8-aa84-938af62d8328,1.49278389,0.003160209,0.000192487,-2.95E-15,0.047122823,1.4163465,0.002618155,8.92E-06,0,MJ,0,0,0,0,0,0,0,0
"Steel; sections, at plant",1,kg,1b8709a5-5df4-4c52-85e4-dd6e7ed8deba,1.01678756,0.002434692,0.000143802,7.67E-15,0.036330409,0.956113512,0.002060504,9.20E-06,0,MJ,0,0,0,0,0,0,0,0
Styrene; at plant,1,kg,e2884390-2613-3d46-81d2-6051ecadc9c2,3.036631681,0.005162775,0.001808433,9.76E-09,0.152057526,2.80707334,0.007404439,8.36E-05,1.080242965,MJ,0.158349178,0.000342346,1.81E-05,2.36E-09,0.007269964,0.149850622,0.000283817,1.89E-06
"Sulfur, at plant",1,kg,dfa7acbc-4a41-3329-951d-b6cde899c91e,0.77404515,0.000670185,5.24E-05,1.43E-09,0.019469451,0.567866446,0.007309141,5.63E-06,0.57690295,MJ,0.092703489,0.000200422,1.06E-05,1.38E-09,0.004256107,0.087728119,0.000166157,1.11E-06
"Sulfuric acid, at plant",1,kg,1b6afe73-a064-33a3-87b0-265ae10851e9,0.333748503,0.003195441,5.47E-05,1.15E-09,0.014836141,0.244982294,0.003144696,2.61E-06,0.441960419,MJ,0.07101935,0.000153542,8.13E-06,1.06E-09,0.003260567,0.067207762,0.000127291,8.50E-07
"Switchgrass, production, US, 2022",1,kg,9c36427d-76de-314c-bfca-4d714b71c9a5,0.039406649,0.00189687,0.000119948,6.73E-12,0.00023789,0.003237326,1.74E-05,0.000134647,0.002339892,MJ,0.000376001,8.13E-07,4.31E-08,5.60E-12,1.73E-05,0.000355821,6.74E-07,4.50E-09
"Thermoforming, rigid polypropylene part, at plant",1,kg,18c37a18-0ddd-3944-b9b1-458410215233,4.364241203,0.008947844,0.001016947,3.47E-08,4.462529755,3.958983245,0.011844772,0.000275471,12.15155194,MJ,1.84272067,0.003983904,0.000211016,2.75E-08,0.084601092,1.743822366,0.003302797,2.20E-05
"Toluene diisocyanate, TDI; at plant; mass alloc",1,kg,6f2532e9-d9c0-368e-89a2-0bd48adb4dab,1.522357529,0.003395197,0.000870657,7.58E-07,0.069971839,1.350844643,0.005000518,1.89E-05,3.387306449,MJ,0.221966976,0.000479886,2.54E-05,3.31E-09,0.010190719,0.21005407,0.000397842,2.66E-06
"Toluene diisocyanate, TDI; at plant; mass and elemental alloc",1,kg,37a4ae86-eca4-4264-92d6-549534fb2262,2.436667416,0.005577869,0.001602691,7.61E-07,0.11131016,2.166434542,0.008422747,2.98E-05,3.77513912,MJ,0.245775712,0.000531359,2.81E-05,3.66E-09,0.011283801,0.232584998,0.000440516,2.94E-06
"Toluene, at plant",1,kg,2d57ab6d-6b06-32e6-a44b-8ffcd5d94176,1.15810251,0.00270654,0.002336657,1.13E-08,0.076546227,1.138976895,0.000602445,8.28E-06,0.519839682,MJ,0.083533898,0.000180598,9.57E-06,1.24E-09,0.003835122,0.079050657,0.000149722,9.99E-07
"Unsaturated polyester, UPR, resin, at plant",1,kg,91c096d9-987d-34c6-90c0-3c672b467086,1.977975357,0.003385486,0.000959719,3.45E-08,0.101565209,1.818084589,0.005042641,7.03E-05,1.350146366,MJ,0.200722827,0.000433956,2.30E-05,2.99E-09,0.00921538,0.189950089,0.000359765,2.40E-06
"Urea formaldehyde, UF, resin, neat, 65% solids",1,kg,4b835425-fd68-337c-8e35-a4ddfb5b628a,0.392217297,0.001132134,0.000222435,1.19E-09,0.032188766,0.295223344,0.00344322,2.12E-06,0.406314202,MJ,0.06511035,0.000140767,7.46E-06,9.70E-10,0.002989279,0.061615896,0.0001167,7.79E-07
"Vacuum infusion, rigid composites part, at plant",1,kg,01152bc2-5e31-3b8c-a40f-42289905c771,1.579275539,0.003017297,0.000750822,1.99E-08,0.109370924,1.468304012,0.003566734,4.15E-05,1.750294592,MJ,0.273596905,0.000591508,3.13E-05,4.08E-09,0.012561099,0.258913036,0.000490381,3.27E-06
"Veneer, hardwood, dry, at veneer mill, E",1,kg,277ef057-4ad9-3780-a1c0-6d78321131f6,0.960104188,0.001663274,0.000470617,1.17E-07,0.05139962,0.946449429,0.000431532,4.65E-06,1.173985355,MJ,0.188649648,0.000407855,2.16E-05,2.81E-09,0.008661088,0.178524874,0.000338126,2.26E-06
"Veneer, hardwood, green, at veneer mill, E",1,kg,cdc143eb-fff8-3618-85cd-bce83d96390f,0.272626804,0.000706978,0.000118028,1.88E-08,0.020643088,0.265596388,0.00022313,2.66E-06,0.709805594,MJ,0.114059835,0.000246594,1.31E-05,1.70E-09,0.005236598,0.107938275,0.000204435,1.36E-06
Vinyl ester resin; at plant,1,kg,5fea6b91-f71b-4a8f-864f-b64af87e8b75,4.52527917,0.008221223,0.001263239,1.50E-08,0.225812284,4.219540729,0.010191206,7.60E-05,4.379680356,MJ,0.698231865,0.001509555,8.00E-05,1.04E-08,0.032056502,0.660757956,0.001251475,8.35E-06
"Wheat, at field",1,kg,d6439ada-877c-30ff-92b2-875e88b88141,0.375218055,0.007584478,0.005720178,4.15E-10,0.145459641,0.126745574,8.92E-05,0.000928198,0.025156686,MJ,0.00404247,8.74E-06,4.63E-07,6.02E-11,0.000185594,0.003825511,7.25E-06,4.84E-08
"White mineral oil, at plant",1,kg,874dc726-50f1-300b-958f-9335fd1c53cd,1.996424902,0.004188704,0.002570564,1.59E-08,0.114297998,1.952121453,0.001425843,1.60E-05,1.974428354,MJ,0.317274157,0.000685937,3.63E-05,4.73E-09,0.014566364,0.300246142,0.000568666,3.80E-06
"Winter wheat straw, production, average, US, 2022",1,kg,a3b730ce-d657-383b-b485-e5d082d96424,0.023363892,0.000969286,0.0001632,7.02E-12,0.000278427,0.003622835,1.38E-05,7.30E-05,0.002070774,MJ,0.000332756,7.19E-07,3.81E-08,4.96E-12,1.53E-05,0.000314897,5.96E-07,3.98E-09
"Wood Combusted, at boiler, at cellulosic fiberboard mill",1,kg,106bcee8-0d5f-30c6-ac98-fa6dab41d4d1,1.815015195,0.001892874,9.93E-05,3.62E-11,0.053386974,1.807566623,0.000150715,1.22E-05,0.214627195,MJ,0.045330238,0.000366128,5.96E-06,1.55E-11,0.003165731,0.043041669,7.22E-05,1.01E-06
