Flow,Qty,Unit,UUID,GWP,AP,EP,ODP,POCP,CO2,CH4,N2O,Elec_Qty,Elec_Unit,Elec_GWP,Elec_AP,Elec_EP,Elec_ODP,Elec_POCP,Elec_CO2,Elec_CH4,Elec_N2O
"Methylene diphenyl diisocyanate, MDI; at plant, mass alloc",1,kg,d1bf60a0-272b-3ef0-951c-7febc0546d58,1.689347758,0.004172073,0.001071262,1.06E-08,0.093945613,1.509031398,0.004720242,0.000181178,3.378548871,MJ,0.329794598,0.000713006,3.78E-05,4.91E-09,0.01514119,0.312094614,0.000591107,3.95E-06
"Methylene diphenyl diisocyanate, MDI; at plant, mass and elemental alloc",1,kg,0f0458b0-7af8-4194-b2b9-35fe606b1526,2.134962598,0.005548596,0.001612313,1.06E-08,0.124232833,1.88731687,0.006241169,0.000274598,2.132163412,MJ,0.249392031,0.000539178,2.86E-05,3.72E-09,0.01144983,0.23600723,0.000446997,2.98E-06
"Natural gas, combusted in industrial boiler",1,m3,5b81b61c-4d10-3bed-9926-8a5f868f5174,2.464435971,0.003316906,0.000205551,2.64E-10,0.105551831,2.255526458,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler",1,m3,f347daea-82be-4e62-8872-a0dc0ca24ca3,2.464435971,0.003316906,0.000205551,2.64E-10,0.105551831,2.255526458,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler",1,m3,759a9b22-1de5-49fe-ac1d-0c287b2ef93e,2.464435971,0.003316906,0.000205551,2.64E-10,0.105551831,2.255526458,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene",1,m3,39abf743-0b9e-33e3-8752-b418609504f1,13.6853112,0.009602731,0.000444973,2.64E-10,0.239566819,13.47640169,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene",1,m3,29d771d7-71ec-3a22-bbd0-8709d5a328e2,5.072889103,0.00266501,0.000161212,2.64E-10,0.08067781,4.86397959,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler, at hydrocracker, for propylene",1,m3,0f528ea6-57a9-365a-a4af-4132ebe27cae,6.570009032,0.005828997,0.000324222,2.64E-10,0.172061134,6.361099519,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas",1,m3,8a0090ee-4054-322f-a65d-15c8ee6ca915,7.361309556,0.006013826,0.000332198,2.64E-10,0.176541544,7.152400044,0.007097486,3.84E-05,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)",1,m3,4d7e8233-af87-31fc-b497-592383d4008a,2.257201824,0.002053277,0.000116958,2.11E-10,0.061323563,2.203030742,0.001575492,3.79E-05,0.028363891,MJ,0.004557841,9.85E-06,5.22E-07,6.79E-11,0.000209255,0.004313223,8.17E-06,5.45E-08
"Natural gas, combusted in industrial equipment",1,m3,7b7babef-a97a-3510-88f2-ee70aa1fa03b,2.45978843,0.003362756,0.000208452,2.64E-10,0.107043855,2.257526458,0.007200949,2.38E-06,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial equipment",1,m3,b355f122-dc4e-4224-aafa-d43c3b57db7b,2.45978843,0.003362756,0.000208452,2.64E-10,0.107043855,2.257526458,0.007200949,2.38E-06,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, combusted in industrial equipment",1,m3,7fc41eaf-5a14-4baf-9a5a-82688757a22b,2.45978843,0.003362756,0.000208452,2.64E-10,0.107043855,2.257526458,0.007200949,2.38E-06,0.0295059,MJ,0.004741352,1.03E-05,5.43E-07,7.07E-11,0.00021768,0.004486885,8.50E-06,5.67E-08
"Natural gas, processed, for material use, at plant",1,kg,a8b6bb7c-0274-41de-8385-ef5f8a03f9bf,0.388982479,0.002786297,0.000158712,2.86E-10,0.082666988,0.329792717,0.002089067,2.60E-06,0.112559726,MJ,0.018087408,3.91E-05,2.07E-06,2.70E-10,0.00083041,0.017116662,3.24E-05,2.16E-07
"Natural soda ash (Sodium carbonate), at plant",1,kg,0d95cc8b-a9a0-3630-a760-1ab4d88257d8,0.709210955,0.001537749,4.80E-05,1.38E-09,0.027872038,0.695523785,0.000436874,5.40E-06,0.475957919,MJ,0.076315749,0.000164992,8.74E-06,1.14E-09,0.00350373,0.072219905,0.000136784,9.13E-07
"Nitrogen fertilizer, production mix, at plant",1,kg,dacaeae9-aeed-3366-912d-6a31de09eef9,1.715036464,0.003160993,0.000213006,1.11E-09,0.068182183,0.842642581,0.001761713,0.003105857,0.213026169,MJ,0.034231527,7.40E-05,3.92E-06,5.10E-10,0.001571603,0.032394331,6.14E-05,4.10E-07
"nuclear fuel extraction, prococessing, and transport",1,MJ,98a4522b-da0c-3239-88db-74b15ba0288d,0.00491917,6.61E-05,5.93E-06,1.13E-12,0.000556082,0.003587522,4.22E-05,2.18E-07,0,MJ,0,0,0,0,0,0,0,0
"Open mold casting, rigid composites part, at plant",1,kg,73b0cd92-2167-3036-b1bc-df05a09828fc,0.993333443,0.001939484,0.000338209,1.93E-08,0.065806698,0.924569557,0.002171156,2.45E-05,2.367135623,MJ,0.375855683,0.000812588,4.30E-05,5.60E-09,0.017255899,0.355683614,0.000673664,4.50E-06
"Open molding, rigid composites part, at plant",1,kg,ddb25171-80c6-3e14-879b-4371febbc0ad,2.177025726,0.004796401,0.00273891,3.02E-08,0.239297093,2.044360465,0.004192611,5.65E-05,5.102512553,MJ,0.811420471,0.001754265,9.29E-05,1.21E-08,0.0372531,0.76787176,0.001454348,9.71E-06
"Oxygen, liquid, at plant",1,kg,7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,0.079835695,0.000172602,9.14E-06,1.19E-09,0.003665334,0.075550935,0.000143093,9.55E-07,0.496825397,MJ,0.079835695,0.000172602,9.14E-06,1.19E-09,0.003665334,0.075550935,0.000143093,9.55E-07
"Packaging and information sheets, i2900 desktop scanner",1,kg,1296738e-d64f-3837-a793-bc33f491e292,0.080885179,2.86E-04,4.42E-05,5.98E-10,0.00904272,0.079205316,4.45E-05,1.61E-06,0.132610481,MJ,0.021298068,4.60E-05,2.44E-06,3.17E-10,0.000977815,0.020155007,3.82E-05,2.55E-07
"Palm kernel oil, processed, at plant",1,kg,21ed2ebb-54bf-324d-9865-af8265d2d49c,4.767328579,0.011677296,0.002453057,4.54E-07,0.313101896,4.045070666,0.025635122,1.25E-05,1.175190906,MJ,0.18884337,0.000408273,2.16E-05,2.81E-09,0.008669982,0.178708199,0.000338473,2.26E-06
"Palm kernels, at plant",1,kg,a9f691e0-2be5-376a-ba35-294bb7849840,3.945149533,0.006803918,0.001810835,4.14E-07,0.177115905,3.291860412,0.023258202,3.94E-06,0.011372876,MJ,0.001827526,3.95E-06,2.09E-07,2.72E-11,8.39E-05,0.001729443,3.28E-06,2.19E-08
"Paper, bag and sack, unbleached kraft, average production, at mill",1,kg,f9cf891e-fd8c-304c-9707-4a7e390b9e75,2.907770242,0.006375732,0.001134152,6.15E-07,0.075500779,2.850523326,0.001439626,6.16E-05,1.445919918,MJ,0.231181935,0.000501891,2.65E-05,3.44E-09,0.01061896,0.218780781,0.000414109,2.77E-06
"Paper, freesheet, coated, average production, at mill",1,kg,51cb18c8-eb65-36b7-a20a-bc1ed819ff88,3.152715384,0.012619,0.001252609,3.62E-07,0.098487663,3.064807511,0.002023549,0.000116029,1.386282445,MJ,0.221807442,0.000479541,2.54E-05,3.31E-09,0.010183395,0.209903099,0.000397556,2.65E-06
"Paper, freesheet, uncoated, average production, at mill, 2006",1,kg,732a5578-1750-3738-b0f2-607106574358,3.565127858,0.009525052,0.001812616,4.50E-07,0.105483374,3.469382762,0.002414538,0.000103914,2.308864723,MJ,0.363328208,0.000785504,4.16E-05,5.41E-09,0.01668075,0.343828485,0.000651211,4.35E-06
"Paper, mechanical, coated, average production, at mill",1,kg,3fa61250-2a76-30f5-aa5e-267f99ca3ee5,2.767060457,0.007901666,0.001069393,2.87E-07,0.09618658,2.681251012,0.002313984,7.74E-05,3.271442554,MJ,0.524343716,0.001133615,6.00E-05,7.81E-09,0.024073128,0.496202335,0.000939806,6.27E-06
"Paper, mechanical, uncoated, average production, at mill",1,kg,285cfc08-fc23-3bfc-b304-1bb4a60d2f8a,2.86554028,0.01074296,0.004141701,1.26E-07,0.176221019,2.532139054,0.00262983,0.000979218,2.428741575,MJ,0.389448592,0.000841976,4.46E-05,5.80E-09,0.017879962,0.368546994,0.000698027,4.66E-06
"Paraxylene, at plant, kg",1,kg,d32a7e23-c6c0-400a-8134-656a3e13c11f,1.462000245,0.00194918,0.00217353,1.71E-08,0.071243161,1.395168122,0.002279229,1.11E-05,1.191207654,MJ,0.127783233,0.000276263,1.46E-05,1.90E-09,0.005866652,0.120925142,0.000229032,1.53E-06
"Particleboard, average, softwood, particleboard mill",1,m3,57686507-ed6b-3e06-906e-c28a7c6fb8bc,275.9913383,0.508940307,0.052485137,1.52E-06,15.79281132,254.6836458,0.733520371,0.002784997,609.4179264,MJ,97.90960006,0.211677464,0.011211945,1.46E-06,4.495124646,92.65481915,0.175488087,0.001171289
petroleum extraction and processing - DFO PADD 1,1,MJ,28a4dbbe-c940-3d65-a006-cbacbda7d2fb,0.025159173,3.07E-05,1.80E-06,2.22E-11,0.000748302,0.020341275,0.000170168,1.77E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - DFO PADD 2,1,MJ,bdad9c51-928c-3577-b823-2c81a667c4fb,0.018209382,1.80E-05,1.05E-06,2.09E-11,0.000484406,0.014057213,0.00014665,1.47E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - DFO PADD 3,1,MJ,8e59a94a-d5fe-3eeb-88a9-a5e3544951d8,0.018043283,2.41E-05,1.41E-06,2.37E-11,0.000595752,0.014491082,0.000125339,1.41E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - DFO PADD 4,1,MJ,f38c3ec6-e800-3722-ae22-f990273aa501,0.018044129,1.79E-05,9.24E-07,1.60E-11,0.000437349,0.014510168,0.000124165,1.74E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - DFO PADD 5,1,MJ,b5f585ea-a588-39bb-81dd-fac996980d86,0.036916431,4.15E-05,2.44E-06,3.81E-11,0.001126528,0.030442017,0.000227514,3.47E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - RFO PADD 1,1,MJ,8fe45891-8f21-3009-883c-7f3ccb47d248,0.023870674,2.73E-05,1.61E-06,2.04E-11,0.000655127,0.019138096,0.000167422,1.53E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - RFO PADD 2,1,MJ,dc23b370-e5cb-30b6-8245-d5801cc0f7d5,0.014852923,1.20E-05,7.14E-07,2.12E-11,0.000321497,0.011404495,0.000121999,1.09E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - RFO PADD 3,1,MJ,e66feab0-54e1-347e-bb0a-2e93dca7d48f,0.024097617,2.94E-05,1.72E-06,3.76E-11,0.000708143,0.019600225,0.0001587,1.83E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - RFO PADD 4,1,MJ,cb4146a8-6e57-37f1-9366-0913ebe21ee4,0.016595295,1.42E-05,7.18E-07,1.70E-11,0.000336929,0.01328213,0.00011656,1.53E-07,0,MJ,0,0,0,0,0,0,0,0
petroleum extraction and processing - RFO PADD 5,1,MJ,ae9b0228-e29a-3e91-91fa-3855285b663c,0.019845843,2.01E-05,1.19E-06,2.41E-11,0.000537459,0.016346978,0.000123049,1.84E-07,0,MJ,0,0,0,0,0,0,0,0
"Petroleum refined, for energy use, at plant",1,kg,3ca7a144-e2f3-4963-8c63-768cf0853cee,0.813326743,0.001311033,0.002097394,1.04E-08,0.052546159,0.801390005,0.00037104,5.64E-06,0.397163579,MJ,0.063820872,0.000137979,7.31E-06,9.51E-10,0.002930078,0.060395624,0.000114389,7.63E-07
"Petroleum refined, for material use, at plant",1,kg,70d2004a-9f80-48ce-a86c-50e85dd6a637,0.813326743,0.001311033,0.002097394,1.04E-08,0.052546159,0.801390005,0.00037104,5.64E-06,0.397163579,MJ,0.063820872,0.000137979,7.31E-06,9.51E-10,0.002930078,0.060395624,0.000114389,7.63E-07
"Petroleum refining, at refinery",1,m3,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,704.5736448,1.135729574,1.816943098,9.05E-06,45.52000623,694.2330143,0.321426395,0.00488268,349.6891048,MJ,56.1921205,0.12148559,0.006434742,8.37E-07,2.579834721,53.17630508,0.100715841,0.000672224
"Phenol formaldehyde resin, neat, 47% solids",1,kg,cd04cced-a75c-30c6-b05f-1fe6fbefb934,0.38795391,0.001095241,6.99E-05,1.80E-08,0.029019624,0.314350792,0.002582636,4.55E-06,0.760758331,MJ,0.097387198,0.000210548,1.12E-05,1.45E-09,0.004471141,0.092160454,0.000174552,1.17E-06
"Phenol formaldehyde, at plant",1,kg,0bb53c29-31b1-3e8c-87ac-a2ef6793f8f2,3.498383427,0.006391415,0.001817947,2.00E-08,0.205279655,3.276090696,0.007520318,4.31E-05,5.431662267,MJ,0.872822792,0.001887015,9.99E-05,1.30E-08,0.04007214,0.825978636,0.001564402,1.04E-05
"Phenol resorcinol formaldehyde hardener, at plant",1,kg,09f2356f-629a-3305-8411-99967cf4a9b3,1.883515,0.01085,0.000376284,0,0.221667627,1.75,0.00474,3.00E-06,0,MJ,0,0,0,0,0,0,0,0
