scenario,r,state,gea,interconnect,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,h2-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,h2-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_shadow_price,rps_f,ces_shadow_price,ces_f,co2_shadow_price
MidCase,p10,CA,CAISO,wscc,2045,279088740,9331947,64058630,2065739.6,354545060,269056633.7,192964480,96078790,21822480,0.0359,0.0539,0.182,204366.61,66983.3,0.94,0.95,23.7,0.4,0.04,2.9,179,0.01,23.7,8.2,32,22.5,0.7,0.09,2.6,154.5,0.01,22.5,7.2,29.7,21.7,0.7,0.09,2.3,146.9,0.01,21.7,6.7,28.4,244.8,9.7,1.25,25.9,1558,0.12,245.5,72.4,317.8,6642592.3,125.2,12.5,815348.6,50158,3,6649743,2310881.9,8960624.9,0,15.15,35.64,0,50.79,18.57,48.65,0,67.22,92378.9,410774.2,843139.8,280288740,161580580,7925112,969598,0,0,0,0,0,22308972,15450258,0,1539782,38408796,3215900.5,0,1439.5,51197268,0,123261160,16010450,0,5433.2,181.8,0,0,0,0,12729.5,9738.2,0,8304.4,5204.4,1201.5,0,27.2,20241.3,0,40359.8,0,4108.6,21732.7,161930.4,0,0,0.57,0,0.95,0
MidCase,p10,CA,CAISO,wscc,2050,310427230,12913205,65210984,2510276.8,391061700,299268717.5,230667420,125851176,25666718,0.0359,0.0539,0.182,232370.41,75432.7,0.92,0.94,29.8,0.6,0.06,3.6,225,0.01,29.8,10.3,40.2,23.5,0.6,0.07,2.7,168.9,0.01,23.5,7.8,31.3,16.9,0.5,0.06,1.8,116.3,0.01,17,5.3,22.3,252.7,8.8,1.1,28.2,1678.8,0.12,253.3,78.3,331.5,8667468.7,163.4,16.3,1054534.1,65443.6,3.9,8676796.1,3005817.8,11682613.9,0,16.24,41.52,0.11,57.87,20.24,56.21,0.13,76.58,12283.6,42121.1,117442.3,290877220,160394270,10975437,969598,0,0,0,0,0,23454656,20386354,0,1947847.4,40880216,3220070,0,0,52103428,0,120209560,16730050,0,7517.7,181.8,0,0,0,0,13250,9986.7,0,7482,5498.2,1201.5,0,0,20241.3,0,38955,0,4110,30070.9,161930.4,0,0,0.57,0.2,0.95,0
MidCase,p100,VA,PJM_East,eastern,2025,3610270.5,0,0,99948.4,3710219.2,3480466.4,3581908.5,3547779.5,4398478.5,0.0359,0.054,0.146,122620.48,848,0.03,0.15,358.8,6.8,0.68,42.4,3352.1,0.16,359.2,142.3,501.5,441.8,26.2,3.6,36.4,2795.6,0.21,443.6,119.8,563.4,418,31.4,4.49,28.9,2003.5,0.24,420.2,88.7,508.9,733.1,63.6,9.13,43.9,3015.3,0.4,737.4,133.9,871.3,1636395.9,30.8,3.1,193308.1,15288.7,0.7,1638156.8,649103.7,2287260.5,0,31.23,25.91,0,57.15,33.06,28.32,0,61.38,0,0,0,4560917.5,128310.4,0,0,0,0,0,0,0,37039.3,4432607,0,0,0,0,0,0,0,0,91271.1,0,0,0,0,0,0,0,0,25.5,1472.2,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0.36,0
MidCase,p100,VA,PJM_East,eastern,2030,3787090.5,0,0,105651.3,3892741.5,3650926.5,3672504,4212545,4329742,0.0359,0.054,0.146,122620.48,880.6,0.06,0.38,348.2,6.6,0.66,41.1,2627.8,0.15,348.6,119.5,468.1,245.5,5.8,0.65,28.7,1787.9,0.12,245.9,82,327.9,210.4,7.8,1,21.6,1353.1,0.1,210.9,61.9,272.8,467.4,29.9,4.16,40.3,2319.2,0.25,469.4,109.5,578.9,1396375.2,26.3,2.6,164954.4,10537.3,0.6,1397877.9,479130.9,1877008.7,0,20.68,24.17,0,44.84,21.91,26.23,0,48.14,0,0,0,4009938.5,220237.9,0,0,0,0,0,0,0,128966.8,3782464,0,0,0,7236.7,0,0,0,0,91271.1,0,0,0,0,0,0,0,0,88.7,1472.2,0,0,0,2.4,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0.44,0
MidCase,p100,VA,PJM_East,eastern,2035,4085462.5,0,0,155223.1,4240685,3938569.6,3955091.5,7453075,5144825.5,0.0359,0.054,0.146,124147.05,942.1,0.15,0.61,314.6,5.9,0.59,37.2,2374.1,0.14,314.9,107.9,422.9,182.4,8.3,1.09,18.1,1108.9,0.1,182.9,51.2,234.1,153.2,3.9,0.45,17.2,1098.7,0.07,153.5,50,203.4,431.5,28,3.91,36.2,2102.2,0.23,433.4,98.9,532.3,607960.1,11.5,1.1,71818.6,4587.8,0.3,608614.3,208606.1,817220.5,0,19.27,23.46,0,42.73,20.32,25.78,0,46.1,0,0,0,1932435,285593.6,0,0,0,0,0,0,0,194322.5,1646841.4,0,0,0,0,0,0,0,0,91271.1,0,0,0,0,0,0,0,0,133.6,1472.2,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0.54,0
MidCase,p100,VA,PJM_East,eastern,2040,4388195,0,0,190078.8,4578273.5,4230416.7,4290398.5,9388716,5971371.5,0.0359,0.054,0.146,121390.7,994,0.25,0.68,277.6,5.2,0.52,32.8,2095,0.12,277.9,95.3,373.2,183.1,12.7,1.77,14.3,868.4,0.11,184,40.2,224.2,154.1,7.6,1.01,14,901.4,0.07,154.6,40.9,195.5,443.3,29.8,4.16,35.2,2122.8,0.23,445.4,98.5,543.9,322297.6,6.1,0.6,38073.1,2432.1,0.1,322644.4,110588.3,433232.7,0,20.65,23.27,0,43.93,21.75,25.61,0,47.36,0,0,0,1160929.2,287875,0,0,0,0,0,0,0,196603.9,873054.2,0,0,0,0,0,0,0,0,91271.1,0,0,0,0,0,0,0,0,135.2,1472.2,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,0,0,0.66,0
MidCase,p100,VA,PJM_East,eastern,2045,4730221,2347874,0,266669.5,7344765,4560149.1,7051790.5,13255762,8202925,0.0359,0.054,0.146,120736.67,1073.6,1,0.78,0,0,0,0,0,0,0,0,0,149.2,12.9,1.84,9.4,563.7,0.09,150.1,26.3,176.4,98.6,4.1,0.53,9.7,620.1,0.05,98.9,28.2,127.1,441.8,26.8,3.72,37.1,2258.7,0.23,443.6,104.5,548.1,0,0,0,0,0,0,0,0,0,0,18.41,16.23,0,34.63,22.95,25.87,0,48.82,0,0,0,2291927.2,292974.6,1998952.6,0,0,0,0,0,0,201703.6,0,0,0,0,0,0,0,0,0,91271.1,0,0,1465.8,0,0,0,0,0,138.7,0,0,0,0,0,0,0,0,0,42.5,0,0,5863.1,0,0,0,0,0,0.78,0
MidCase,p100,VA,PJM_East,eastern,2050,5048458,2465470,0,355394.6,7869322.5,4866948.9,7562950.5,17113398,11649712,0.0359,0.054,0.146,115038.29,1164.1,1,0.76,0,0,0,0,0,0,0,0,0,113.8,5.1,0.67,11.7,694.5,0.07,114.1,32.4,146.5,72.3,1.8,0.21,8.2,520.1,0.03,72.5,23.7,96.1,427.5,20.2,2.75,41.5,2450.3,0.24,428.9,114.6,543.5,0,0,0,0,0,0,0,0,0,0,19.36,16.27,0,35.62,23.93,25,0,48.93,0,0,0,2405636.2,306372.6,2099263.8,0,0,0,0,0,0,213110.6,0,0,0,0,0,0,0,0,0,93261.9,0,0,1465.8,0,0,0,0,0,146.6,0,0,0,0,0,0,0,0,0,42.5,0,0,5863.1,0,0,0,0,0,0.81,0
MidCase,p101,FL,FRCC,eastern,2025,172879970,31839.4,0,937843.4,173849650,166667289.1,140513380,41739400,1245771.9,0.0359,0.0539,0.15,114082.73,39961.9,0.27,0.32,383.6,23.7,3.27,31,2356.2,0.18,385.2,101.3,486.5,375.8,24,3.33,30.4,2249,0.19,377.4,97.5,474.9,363.5,9.2,1.05,41,3199.1,0.17,364,136.4,500.4,533.9,34.4,4.79,44.3,3107.5,0.28,536.2,137,673.2,51161033.7,3159.6,435.6,4132467.1,314209.3,24,51374096.2,13502461.4,64876557.5,0,32.83,23.49,0,56.33,34.79,25.3,0,60.1,0,773921.5,773921.5,133356020,33336272,27098.1,1850642.8,0,0,23021910,0,0,2497160.8,73653060,0,1140780.9,0,216181.2,0,110083.5,0,0,30839110,0,0,17.3,343.4,0,3754,0,0,1777.3,21277.9,0,7190.2,0,54.5,0,3942,0,0,12230.6,0,0,69.2,0,0,0,0,0,0,0
MidCase,p101,FL,FRCC,eastern,2030,188374510,33320.9,0,895651.9,189303470,181605057,132408730,34976212,8555336,0.0359,0.0539,0.15,114082.73,43535.4,0.36,0.41,289.9,13.7,1.81,27.3,1727.5,0.13,290.8,78.8,369.6,277,12.9,1.71,26.9,1661.3,0.14,277.8,76.5,354.3,249.7,5,0.51,29.3,1864,0.11,250,84.9,334.9,359.5,18.1,2.45,35.8,2057.2,0.19,360.7,97.2,457.9,47213731.3,2223.9,295.3,4450349.4,281385.2,21.9,47360621.8,12841601.6,60202223.3,0,22.11,23.48,0,45.59,23.41,25.31,0,48.72,0,17253102,17253102,162882610,56894744,28357.3,1903843.2,0,0,14016845,0,0,3526526,87766536,0,1875618.2,0,228845.6,0,167818.4,0,0,53368220,0,0,17.3,353.5,0,3754,0,0,5677.2,25254.9,0,7012.5,0,57.5,0,3660.5,0,0,25153.6,0,0,69.2,0,0,0,0,0,0,0
