assembly,POD|LCA RSL Category,material,qty,unit
Asphalt shingle roofing,roofing_asphaltshingle,SBS modified asphalt shingles,116,m2
Asphalt shingle roofing,roofing_asphaltshingle,"Self-adhering, polymer-modified asphalt sheet underlayment",110.4,m2
Asphalt shingle roofing,roofing_asphaltshingle,"Fiberglass blanket insulation, paper faced",750,kg
