Material,SCTG,distance range,Distance,empty back haul factor,Reason
Concrete (Ready-Mix),31,50-100,50,2,curing
Fresh Lime Mortar or Plaster,31,50-100,50,2,curing
Wet Clay and Earthen Materials,14,50-100,50,2,risk of drying
Heavy Structural Timber (Green),26,100-150,100,2,risk of decay and fungal
Glue and Resin (Adhesives),28,200-300,200,1,"sensitive to temprature, risk of drying"
Straw Bales,41,150-200,150,2,risk of fungle
