zip_code,reeds_ba,cambium_gea
1805,p131,ISONE
1810,p131,ISONE
1812,p131,ISONE
1813,p131,ISONE
1815,p131,ISONE
1821,p131,ISONE
1822,p131,ISONE
1824,p131,ISONE
1826,p131,ISONE
1827,p131,ISONE
1830,p131,ISONE
1831,p131,ISONE
1832,p131,ISONE
1833,p131,ISONE
1834,p131,ISONE
1835,p131,ISONE
1840,p131,ISONE
1841,p131,ISONE
1842,p131,ISONE
1843,p131,ISONE
1844,p131,ISONE
1845,p131,ISONE
1850,p131,ISONE
1851,p131,ISONE
1852,p131,ISONE
1853,p131,ISONE
1854,p131,ISONE
1860,p131,ISONE
1862,p131,ISONE
1863,p131,ISONE
1864,p131,ISONE
1865,p131,ISONE
1866,p131,ISONE
1867,p131,ISONE
1876,p131,ISONE
1879,p131,ISONE
1880,p131,ISONE
1885,p131,ISONE
1886,p131,ISONE
1887,p131,ISONE
1888,p131,ISONE
1889,p131,ISONE
1890,p131,ISONE
1899,p131,ISONE
1901,p131,ISONE
1902,p131,ISONE
1903,p131,ISONE
1904,p131,ISONE
1905,p131,ISONE
1906,p131,ISONE
1907,p131,ISONE
1908,p131,ISONE
1910,p131,ISONE
1913,p131,ISONE
1915,p131,ISONE
1921,p131,ISONE
1922,p131,ISONE
1923,p131,ISONE
1929,p131,ISONE
1930,p131,ISONE
1931,p131,ISONE
1936,p131,ISONE
1937,p131,ISONE
1938,p131,ISONE
1940,p131,ISONE
1944,p131,ISONE
1945,p131,ISONE
1949,p131,ISONE
1950,p131,ISONE
1951,p131,ISONE
1952,p131,ISONE
1960,p131,ISONE
1961,p131,ISONE
1965,p131,ISONE
1966,p131,ISONE
1969,p131,ISONE
1970,p131,ISONE
1971,p131,ISONE
1982,p131,ISONE
1983,p131,ISONE
1984,p131,ISONE
1985,p131,ISONE
2018,p131,ISONE
2019,p131,ISONE
2020,p131,ISONE
2021,p131,ISONE
2025,p131,ISONE
2026,p131,ISONE
2027,p131,ISONE
2030,p131,ISONE
2032,p131,ISONE
2035,p131,ISONE
2038,p131,ISONE
2040,p131,ISONE
2041,p131,ISONE
2043,p131,ISONE
2044,p131,ISONE
2045,p131,ISONE
2047,p131,ISONE
2048,p131,ISONE
2050,p131,ISONE
2051,p131,ISONE
2052,p131,ISONE
2053,p131,ISONE
2054,p131,ISONE
2055,p131,ISONE
2056,p131,ISONE
2059,p131,ISONE
2060,p131,ISONE
2061,p131,ISONE
2062,p131,ISONE
2065,p131,ISONE
2066,p131,ISONE
2067,p131,ISONE
2070,p131,ISONE
2071,p131,ISONE
2072,p131,ISONE
2081,p131,ISONE
2090,p131,ISONE
2093,p131,ISONE
2108,p131,ISONE
2109,p131,ISONE
2110,p131,ISONE
2111,p131,ISONE
2112,p131,ISONE
2113,p131,ISONE
2114,p131,ISONE
2115,p131,ISONE
2116,p131,ISONE
2117,p131,ISONE
2118,p131,ISONE
2119,p131,ISONE
2120,p131,ISONE
2121,p131,ISONE
2122,p131,ISONE
2123,p131,ISONE
2124,p131,ISONE
2125,p131,ISONE
2126,p131,ISONE
2127,p131,ISONE
2128,p131,ISONE
2129,p131,ISONE
2130,p131,ISONE
2131,p131,ISONE
2132,p131,ISONE
2133,p131,ISONE
2134,p131,ISONE
2135,p131,ISONE
2136,p131,ISONE
2137,p131,ISONE
2138,p131,ISONE
2139,p131,ISONE
2140,p131,ISONE
2141,p131,ISONE
2142,p131,ISONE
2143,p131,ISONE
2144,p131,ISONE
2145,p131,ISONE
2148,p131,ISONE
2149,p131,ISONE
2150,p131,ISONE
2151,p131,ISONE
2152,p131,ISONE
2153,p131,ISONE
2155,p131,ISONE
2156,p131,ISONE
2163,p131,ISONE
2169,p131,ISONE
2170,p131,ISONE
2171,p131,ISONE
2176,p131,ISONE
2180,p131,ISONE
2184,p131,ISONE
2185,p131,ISONE
2186,p131,ISONE
2187,p131,ISONE
2188,p131,ISONE
2189,p131,ISONE
2190,p131,ISONE
2191,p131,ISONE
2196,p131,ISONE
2199,p131,ISONE
2201,p131,ISONE
2203,p131,ISONE
2204,p131,ISONE
2205,p131,ISONE
2206,p131,ISONE
2210,p131,ISONE
2211,p131,ISONE
