Species,Region,Material Form,%C (dry basis),Dry Density (0% moisture),Dry density unit,Moisture % (Green),Rotation Period [years],Growth Model
Sweet Sorghum,US,Whole Plant,42.8,,,100,1,Normal
Unspecified,Unspecified,Whole Plant,44.33,,,100,1,Normal
Wheat,US,Straw,43.59,,,100,1,Normal
Wheat,US,Grain,43,,,100,1,Normal
Fiber Crops,,,46.61,,,0,1,Normal
Cotton,US,Whole Plant,45,,,100,1,Normal
Grasses,,,46.52,,,0,1,Normal
Switchgrass,US,Whole Plant,47.8,,,100,1,Normal
"Switchgrass (Holou et al., 2017)",,,44,,,100,1,Normal
Miscanthus,,,48.96,,,100,1,Normal
Mixed Grass,,,47.66,,,100,1,Normal
Prairie Cord Grass,,,46.21,,,100,1,Normal
Grass Clippings,,,44.46,,,100,1,Normal
Paper Products,,,41.24,,,0,,Normal
Unspecified,US,Cardboard,31.5,500,,100,100,Normal
Unspecified,US,Corrugated Cardboard,48.28,,,100,60,Normal
Unspecified,US,Glossy Cardboard,43.46,,,100,60,Normal
Unspecified,US,Paper,41.71,,,100,60,Normal
Unspecified,US,Glossy Paper,36.81,,,100,60,Normal
Unspecified,US,Kraft Paper,45,,,100,60,Normal
Miscellaneous Softwood,US,Kraft Pulp,45,,,100,60,Normal
Unspecified,US,Chemical Products,49.55,,,0,,Normal
Unspecified,US,Ethanol,52.14,,,0,60,Normal
Corn,US,Ethanol,52.14,,,0,1,Normal
Miscellaneous Wood,US,Ethanol,52.14,,,0,1,Normal
Switchgrass,US,Ethanol,52.14,,,0,1,Normal
Wheat,US,Ethanol,52.14,,,0,1,Normal
Unspecified,US,Glycerine,39.12,,,0,1,Normal
Unspecified,US,"Pyrolysis Product - Liquid, Oil Phase",39.11,,,0,60,Normal
Soy,US,Biodiesel,39.11,,,0,1,Normal
Soy,US,Polyol,49.55,,,0,1,Normal
Soy,US,Resin,49.55,,,0,1,Normal
Unspecified,US,Pyrolysis Product - Bio Solid,72.3,,,0,60,Normal
Miscellaneous Wood,US,Pyrolysis Product - Bio Solid,72.3,,,0,60,Normal
Unspecified,US,Pyrolysis Product - Bio Gas,34.75,,,0,60,Normal
Miscellaneous Wood,US,Pyrolysis Product - Bio Gas,34.75,1.082,,0,60,Normal
Unspecified,US,Loose Fill Packaging,50,52.9,,100,100,Normal
Unspecified,Unspecified,Oils and Extractives,50,,,0,,Normal
Oil Palm,Unspecified,Palm Kernel Oil,50,,,0,,Normal
Soy,US,Oil,50,,,0,1,Normal
