CLF Baselines Report Category 1,CLF Baselines Report Category 2,Product,Method,Data Source Links,Scale Factor,Value,CLF report GWP value (kg CO2e / declared unit),Declared qty,Declared unit,Baseline method A (data source),Baseline method B (calculation),CLF data source representativeness assessment approach,Data source- product and notes,Data Source - manufacturer and year,Data source(s) include additional life cycle stage info beyond A1-A3,Geography,Density,Density unit,sctg code,FYI Transport Description,waste_rate_category,eol material,DRF Category,Wall material? ,Wall material with thermal mass?,Glazing materials (transparent part only)?,Glazing gas?,Roughness,Thermal conductivity,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Specific Heat J/kg-K,Solar Transmittance at Normal Incidence,Front Side Solar Reflectance at Normal Incidence,Back Side Solar Reflectance at Normal Incidence,Visible Transmittance at Normal Incidence,Front Side Visible Reflectance at Normal Incidence,Back Side Visible Reflectance at Normal Incidence,Infrared Transmittance at Normal Incidence,Front Side Infrared Hemispherical Emissivity,Back Side Infrared Hemispherical Emissivity,Compressive strength (Mpa),Compressive strength (psi),Weight classification,Intended application for insulation ,Service Life [yr] for insulation material,Thickness,Thickness unit,RSI /inch (m2C/W),GWP,GWP-fossil (AR5) [kg CO2 eq/declared unit],GWP-biogenic (AR5) [kg CO2 eq/declared unit],GWP-luluc (AR5) [kg CO2 eq/declared unit],AP,EP,ODP,POCP,ADP fossil (MJ/declared unit),Stored Biogenic Carbon?,Carbon fraction of biomass ,Mositure content (%),Ratio between the molecular mass of CO2 and C molecules,Biamass weight percentage of product (%) ,Carbon fraction considering biomass weight percentage of product ,Density based on oven dry mass  [kg/m3],Biogenic Carbon Content [kg C/m3],Biogenic CO2 Content [kg CO2/m3],GWP-total - Biogenic CO2 stored [kgCO2eq],GWP-biogenic - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential,Mineral C,CO2 [kg/declared unit],CH4 [kg/declared unit],N2O [kg/declared unit]
Steel,Structural steel,"Hot-rolled sections, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec31hutp,1.042105263,High-80th%,1188,1,metric ton,N/A,N/A,N/A,Fabricated Structural Steel Sections,Steel Dynamics Inc (2022),FALSE,North America,7800,kg/m3,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1188,N/A,N/A,N/A,6.294315789,0.141726316,1.68E-09,38.76631579,12088.42105,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Hot-rolled sections, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec369bzg,0.957324106,Low-20th%,830,1,metric ton,N/A,N/A,N/A,Fabricated Structural Steel ,Gerdau Long Steel North America (2021),FALSE,North America,7870,kg/m3,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,830,N/A,N/A,N/A,2.34544406,2.25928489,6.34E-05,40.01614764,9104.152249,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Steel plate, unfabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/epd-aisc-plate-2021.pdf,1.002490566,Baseline,1480,1,metric ton,Industry,single,industry data,"Steel plate industry-average EPD (AISC, 2021b). CLF converted from the industry EPD's fabricated result to unfabricated GWP. ",American Institute of Steel Construction (AISC). (2021). Environmental Product Declaration - Fabricated Steel Plate. UL Environment.,FALSE,North America,7800,kg/m3,322,Flat-rolled products of iron or steel.,p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1480,N/A,N/A,N/A,3.183396226,0.15172327,2.97E-12,47.28553459,1237.987421,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Steel plate, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3rp40f,1.613442038,High-80th%,2352,1,metric ton,N/A,N/A,N/A,"Fabricated Steel Plate, converted from the  EPD's fabricated result to unfabricated","Alliance Steel Fabrication, Evraz-Portland OR (2023)",FALSE,North America,7870,kg/m3,322,Flat-rolled products of iron or steel.,p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2352,N/A,N/A,N/A,9.378038217,12.14950318,0.000215725,166.2878981,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Steel plate, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3npnyj,0.967286916,Low-20th%,961,1,metric ton,N/A,N/A,N/A,"fabricated Construction Grade Steel Plate, converted from the  EPD's fabricated result to unfabricated",Nucor Steel - Hertford- Plate Mill  (2023),FALSE,North America,7861,kg/m3,322,Flat-rolled products of iron or steel.,p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,961,N/A,N/A,N/A,3.601504673,0.142802804,4.25E-08,45.17598131,1041.831776,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Steel plate, fabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/epd-aisc-plate-2021.pdf,1,Baseline,1730,1,metric ton,Industry,single,industry data,"Steel plate industry-average EPD (STI, 2021) ",American Institute of Steel Construction (AISC). (2021). Environmental Product Declaration - Fabricated Steel Plate. UL Environment.,FALSE,North America,7800,kg/m3,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,Yes,Yes,No,No,Smooth,47.5,0.9,0.7,0.7,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1730,N/A,N/A,N/A,3.76,0.191,1.62E-09,57.5,1510,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Steel plate, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3rp40f,1,High-80th%,1830,1,metric ton,N/A,N/A,N/A,Fabricated Steel Plate,"Alliance Steel Fabrication, Evraz-Portland OR (2023)",FALSE,North America,7870,kg/m3,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,Yes,Yes,No,No,Smooth,47.5,0.9,0.7,0.7,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1830,N/A,N/A,N/A,7.19,8.17,0.000144,126,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Steel plate, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3x76uf,0.858156028,Low-20th%,1210,1,metric ton,N/A,N/A,N/A,Fabricated Construction Grade Steel Plate,Nucor Steel - Tuscaloosa - Plate Mill (2023),FALSE,North America,7861,kg/m3,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,Yes,Yes,No,No,Smooth,47.5,0.9,0.7,0.7,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1210,N/A,N/A,N/A,3.63,0.290914894,4.39E-09,55.43687943,1484.609929,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"HSS, unfabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/why-steel/aisc_epd_fab-hss.pdf,0.995497297,Baseline,1710,1,metric ton,Industry,single,industry data,"HSS industry-average EPD (STI, 2021),converted from the  EPD's fabricated result to unfabricated",Steel Tube Institute (STI). (2021). Environmental Product Declaration - Hollow Structural Sections. UL Environment.,FALSE,North America,7800,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1710,N/A,N/A,N/A,3.706540541,0.185789189,-2.17E-12,63.68594595,1478.918919,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"HSS, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3uqkdz,1.040696629,High-80th%,1720,1,metric ton,N/A,N/A,N/A,"fabricated HSS - Plymouth, MI - AVERAGE STEEL SUPPLY MIX, converted from the  EPD's fabricated result to unfabricated",Atlas Tube (2024),FALSE,North America,7850,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1720,N/A,N/A,N/A,4.261348315,1.565393258,8.28E-06,66.6741573,17103.37079,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
