NAICS Category,NAICS Sub-category,SCTG Category,Notes
31-33: Manufacturing,3362: Motor Vehicle Body and Trailer Manufacturing,"36,motorized and other vehicles (includes parts)",
42: Wholesale Trade,4236: Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"43,mixed freight",
42: Wholesale Trade,4239: Miscellaneous Durable Goods Merchant Wholesalers,"43,mixed freight",
42: Wholesale Trade,4247: Petroleum and Petroleum Products Merchant Wholesalers,"17,""gasoline, aviation turbine fuel, and ethanol (includes kerosene, and fuel alcohols)""",
44-45: Retail Trade,4471: Gasoline Stations,,
48-49: Transportation and Warehousing,4811: Scheduled Air Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4821: Rail Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,"4831: Deep Sea, Coastal, and Great Lakes Water Transportation",N/A,transportation processes themselves
48-49: Transportation and Warehousing,4832: Inland Water Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4841: General Freight Trucking,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4842: Specialized Freight Trucking,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4851: Urban Transit Systems,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4852: Interurban and Rural Bus Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4854: School and Employee Bus Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4859: Other Transit and Ground Passenger Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4862: Pipeline Transportation of Natural Gas,N/A,transportation processes themselves
48-49: Transportation and Warehousing,4869: Other Pipeline Transportation,N/A,transportation processes themselves
48-49: Transportation and Warehousing,Commodity Transport,N/A,transportation processes themselves
56: Administrative and Support and Waste Management and Remediation Services,5621: Waste Collection,"41,waste and scrap (excludes of agriculture or food)",
56: Administrative and Support and Waste Management and Remediation Services,5622: Waste Treatment and Disposal,"41,waste and scrap (excludes of agriculture or food)",
56: Administrative and Support and Waste Management and Remediation Services,5629: Remediation and Other Waste Management Services,"41,waste and scrap (excludes of agriculture or food)",
,,"40,miscellaneous manufactured products",
