Process Name,UUID,Qty,Unit
"market for diesel, burned in agricultural machinery | diesel, burned in agricultural machinery | EN15804, U",721f5959-5a92-4835-bdbb-1a72cf9c9a32,1,MJ
"hard coal mine operation and hard coal preparation | hard coal | EN15804, U",ef8f8057-072f-41ab-8cda-0d7450c370d1,1,kg
"hard coal, import from RU | hard coal | EN15804, U",0dc2f0f8-3846-4673-a84d-ad2f7f4dd319,1,kg
"hard coal, import from RLA | hard coal | EN15804, U",68ff0b34-27e3-49ba-a66d-567275a0a52f,1,kg
"market for hard coal | hard coal | EN15804, U",50978178-2458-406a-9820-45d09562d351,1,kg
"hard coal, import from AU | hard coal | EN15804, U",21975d6c-2678-4059-b28c-d7483b5f8cd3,1,kg
"hard coal, import from ID | hard coal | EN15804, U",bf01e353-fdaf-4c3b-b861-0dc95f512071,1,kg
"hard coal, import from RNA | hard coal | EN15804, U",f9921908-32af-4715-8715-c551d84a12b5,1,kg
"hard coal, import from RU | hard coal | EN15804, U",e0e200a8-9ea6-4448-a581-fd22e1ac1ace,1,kg
"hard coal, import from AU | hard coal | EN15804, U",d0c0d8d4-531a-4444-8b55-9cfed8798308,1,kg
"hard coal, import from AU | hard coal | EN15804, U",657b06e1-4680-4c60-8fc0-7cc6282481be,1,kg
"hard coal, run-of-mine to market for hard coal | hard coal | EN15804, U",18e7498a-7d41-4142-bc02-c5efba452788,1,kg
"market for hard coal | hard coal | EN15804, U",7e850919-fd59-4832-83cc-bee1b292ffbb,1,kg
"hard coal mine operation and hard coal preparation | hard coal | EN15804, U",442faf3f-cb67-4f61-9bbf-26da0206fb47,1,kg
"hard coal mine operation and hard coal preparation | hard coal | EN15804, U",e3094cdd-30e7-47b6-a15f-ed9b12908d6e,1,kg
"market for hard coal | hard coal | EN15804, U",2adc52a0-62ac-476b-bea4-6d5cca7212a2,1,kg
"hard coal, import from Australia | hard coal | EN15804, U",cd15e7da-8993-463c-8f02-2c4cbe047ad7,1,kg
"hard coal preparation | hard coal | EN15804, U",3e511472-cd02-43d5-b12c-543fd7188819,1,kg
"hard coal, import from RLA | hard coal | EN15804, U",01555da1-9763-4e18-8f38-3d402afc8a50,1,kg
"market for lignite | lignite | EN15804, U",5ac5322e-d775-430f-ac67-ef181d268e69,1,kg
"market for lignite | lignite | EN15804, U",bf4432cb-241d-4231-a833-f7c6a15fdb19,1,kg
"lignite mine operation | lignite | EN15804, U",d8aab2ac-1ab1-416a-9390-7f0d0b91e982,1,kg
"market for lignite | lignite | EN15804, U",2349141c-2bdd-4e17-95e2-4064d44d89a5,1,kg
"lignite mine operation | lignite | EN15804, U",d7075c2e-209a-4a93-a548-78b38473590c,1,kg
"lignite mine operation | lignite | EN15804, U",8874591f-f698-49e8-82aa-d7aa5e52298c,1,kg
"market for natural gas, unprocessed, at extraction | natural gas, unprocessed, at extraction | EN15804, U",a4c37a8f-0864-419f-98e2-2463d65c271b,1,m3
"natural gas production, unprocessed, at extraction | natural gas, unprocessed, at extraction | EN15804, U",abc139cf-9224-4292-b9c6-08a801a1abc2,1,m3
