mode_name,eff,Electricity consumption (kWh),Qty,Unit,AP,EP,GWP,ODP,POCP,CO2,CH4,N2O
Truck,High,0,1,tkm,0.0001304605432669480,0.0000448440904636798,0.08680712850444780,0.0000000001691117738158360,0.00444912574469411,0.08415012725419150,0.00000890332513536242,0.000009081758316380380
Truck,Median,0,1,tkm,0.0001330867623926280,0.0000455222123764594,0.08801990127485790,0.0000000001714777328323800,0.00454024337321132,0.08532742858325110,0.00000899042325306074,0.000009206354970170590
Truck,Low,0,1,tkm,0.0001341968439154650,0.0000463399475407300,0.08978986555955350,0.0000000001749322007214380,0.00457657122816053,0.08704636084945580,0.00000908554064815562,0.000009388798149136040
Rail,High,0,1,tkm,0.0000488211208172844,0.0000106275176383246,0.01504820345788840,0.0000000000347950231686926,0.00175347528559046,0.01488175583340400,0.00000266789432236594,0.000000345406973506522
Rail,Median,0,1,tkm,0.0000610264010216055,0.0000132843970479057,0.01881025432236050,0.0000000000434937789608658,0.00219184410698808,0.01860219479175500,0.00000333486790295742,0.000000431758716883153
Rail,Low,0,1,tkm,0.0000732316812259266,0.0000159412764574868,0.02257230518683260,0.0000000000521925347530390,0.00263021292838570,0.02232263375010600,0.00000400184148354890,0.000000518110460259784
Barge,High,0,1,tkm,0.0000790668480810064,0.0000189533335027407,0.01755466458265540,0.0000000000643703902661639,0.00282818873493479,0.01737501913155560,0.00000315866917975031,0.000000342669078882315
Barge,Median,0,1,tkm,0.0000895842959393636,0.0000190299715051621,0.01799552624246430,0.0000000000643699808812221,0.00287131033847046,0.01781446874465240,0.00000316059935376905,0.000000347793623615578
Barge,Low,0,1,tkm,0.0001268734292556810,0.0000193016880591727,0.01955858121825430,0.0000000000643685294254757,0.00302419602373880,0.01937251737300840,0.00000316744269801682,0.000000365962464033939
Ocean,High,0,1,tkm,0.0000642372861894305,0.0000112294258280151,0.00632887471788139,0.0000000000330551378116189,0.00229738697922331,0.00625104165498665,0.00000175364433403875,0.000000107652730796280
Ocean,Median,0,1,tkm,0.0001417501302543940,0.0000126893951705685,0.00767446831657568,0.0000000000353874950578678,0.00283541094865905,0.00758632192860575,0.00000191100500975507,0.000000129890086185840
Ocean,Low,0,1,tkm,0.0001611283412706320,0.0000130543875062072,0.00801086671624972,0.0000000000359705843694310,0.00296991694101785,0.00792014199701099,0.00000195034517868415,0.000000135449425033224
Air,High,0,1,tkm,0.0016052300070153400,0.0005445594510214060,0.66389392181252100,0.0000000021036448371031700,0.05022155156658780,0.66055527545154500,0.00009978237270197120,0.000002006859851818380
Air,Median,0,1,tkm,0.0020065375087691700,0.0006806993137767580,0.82986740226565100,0.0000000026295560463789600,0.06277693945823470,0.82569409431443100,0.00012472796587746400,0.000002508574814772980
Air,Low,0,1,tkm,0.0024078450105230000,0.0008168391765321100,0.99584088271878100,0.0000000031554672556547500,0.07533232734988160,0.99083291317731700,0.00014967355905295700,0.000003010289777727580
